股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
300750,宁德时代,0.7,26519736,-0.44,213.1,141296120,0.54,,141296120,1322546880,-1181250760,锂电池、动力电池,0.99,2813381281,441263814817,0.495693,-25592375
600522,中天科技,0.1,5564349,-0.4,15.41,103514140,2.53,,103514140,442577594,-339063454,通信、固态电池,2.94,1435442844,36567404101,1.03201,44045492
300116,*ST保力,1.2,1160636,0.0,1.42,101271862,20.34,首板,101271862,175855050,-74583188,ST板块、锂电池,20.34,505650848,4982593352,4.82378,0
002213,大为股份,1.3,3179267,-0.72,16.83,97904790,10.0,首板,97904790,348618358,-250713568,比亚迪产业链、并购重组,10.8,656561042,2791425079,3.1135,79190040
000009,中国宝安,1.4,407141,0.0,12.21,79566797,2.87,,79566797,189572385,-110005588,创投、负极,2.86,508285542,19453811212,2.49863,10997575
601899,紫金矿业,0.5,3795147,-0.52,11.6,48034061,0.43,,48034061,331393239,-283359178,有色金属、锂电池,0.96,1021045510,144375595229,0.647042,25477471
603799,华友钴业,1.5,1986060,0.36,47.74,45899543,1.08,,45899543,152736055,-106836512,金属钴、高镍三元,0.72,518768566,52274605854,0.866535,0
600309,万华化学,0.8,1247850,-0.17,89.62,42158615,1.09,,42158615,320241321,-278082706,化工、锂电池,1.27,781709450,120618667911,0.947812,-2560778
300450,先导智能,10.0,12217665,1.34,30.65,35079383,0.29,,35079383,116523146,-81443763,固态电池、锂电设备,-1.03,512980308,21547650713,1.00553,3064000
002068,黑猫股份,1.3,131835,0.0,9.79,33802111,4.7,,33802111,55418567,-21616456,化工、煤化工,4.71,194455209,3893336563,1.92599,3260234
002667,威领股份,36.2,730050,2.31,16.67,30637019,10.03,首板,30637019,47212846,-16575827,锂矿、锂电池,7.55,88273709,2472847102,1.1558,17827801
603335,迪生力  ,0.6,11016656,10.06,7.77,29621988,10.06,4连板,29621988,47290964,-17668976,汽车零部件、锂电池,0.0,47865950,1615697009,0.425692,38928471
688700,东威科技,0.2,1229762,0.0,75.35,19025968,0.33,,19025968,120999268,-101973300,复合集流体、锂电池,0.33,332915747,10851199539,0.521231,-7359997
600141,兴发集团,0.2,93576,-0.27,22.64,16663288,1.34,,16663288,57672431,-41009143,磷化工、化肥,1.62,203083915,16501705541,1.05275,107510
