股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
301169,零点有数,0.2,1068624,-2.45,62.47,12960329,3.22,,12960329,141845459,-128885130,数据要素、消费电子,5.81,604380801,1755945672,1.34433,12250388
300012,华测检测,1.2,115534,-0.16,18.8,4616250,-0.9,,4616250,10673163,-6056913,军工、华为概念,-0.74,102702774,21758748491,0.988283,0
300797,钢研纳克,0.6,1878538,-0.63,13.49,3598799,5.47,,3598799,57380094,-53781295,军工、芯片,6.14,314614201,1702373395,2.35724,0
301228,实朴检测,1.8,985542,-1.44,20.74,2898677,3.29,,2898677,51565967,-48667290,食品安全、土壤修复,4.8,326409615,973114210,1.54432,0
603060,国检集团,0.7,9720,0.28,10.77,2685735,0.0,,2685735,5816275,-3130540,房屋检测、光伏,-0.28,32746744,3078421115,0.93475,0
600654,中安科  ,3.2,31428,0.0,1.96,1927276,1.03,,1927276,2590275,-662999,人工智能、比亚迪产业链,1.03,8866304,2432382685,0.962703,0
300795,米奥会展,0.3,13668,0.0,33.71,1469899,-1.35,,1469899,1899632,-429733,首发经济、平台经济,-1.35,25779332,2198817720,1.0229,0
600662,外服控股,2.6,168861,-0.53,5.68,1424613,0.71,,1424613,4078035,-2653422,上海国资改革、国有企业,1.25,34914116,3603639484,1.18939,0
600158,中体产业,0.2,162240,-0.1,9.54,1244931,-0.73,,1244931,18958931,-17714000,体育产业、数据中心,-0.63,102445537,6736399944,0.708572,0
300215,电科院,1.3,14645,-0.39,5.02,128017,-0.99,,128017,501481,-373464,变压器、智能电网,-0.59,15419821,1563032905,1.00424,0
003008,开普检测,0.7,29953,-0.11,26.85,0,-1.5,,0,0,0,汽车检测、机器人概念,-1.4,11798180,943986221,0.811871,0
300662,科锐国际,0.2,143792,-0.82,32.54,-66157,-1.24,,-66157,2013099,-2079256,就业概念、华为概念,-0.43,21925259,4451298050,0.440734,0
301115,建科股份,0.0,2035,0.0,20.43,-155310,0.39,,-155310,2465713,-2621023,房屋检测、芯片,0.39,28171118,1905976235,0.723941,0
600861,北京人力,0.1,27918,0.2,25.34,-314097,0.04,,-314097,0,-314097,就业概念、地产链,-0.16,16057053,5290691768,0.476038,0
002967,广电计量,0.6,68400,-0.26,15.06,-888340,-1.18,,-888340,2965788,-3854128,年报增长、飞行汽车,-0.92,42336367,3603542126,0.86196,0
600136,ST明诚  ,34.8,352236,-0.67,2.97,-1252478,-1.0,,-1252478,320749,-1573227,ST板块、股权转让,-0.34,9521970,947800177,0.456031,0
002057,中钢天源,0.4,149076,-0.55,9.07,-1315609,-0.77,,-1315609,2645000,-3960609,稀土永磁、有色金属,-0.22,42646030,5159228408,1.3805,0
300938,信测标准,0.1,4103,-0.39,40.56,-1396001,-1.53,,-1396001,2035977,-3431978,特斯拉概念、汽车零部件,-1.15,24741532,2137159730,0.96193,0
603183,建研院  ,0.7,90508,0.21,4.83,-1870186,0.0,,-1870186,0,-1870186,房屋检测、光伏,-0.21,23954191,1920991956,0.777638,0
300962,中金辐照,1.4,68666,0.33,18.35,-2308026,1.89,,-2308026,33230356,-35538382,年报增长、国有企业,1.55,159055469,1752799924,2.74999,0
301306,西测测试,0.4,200310,0.11,35.86,-3414036,-1.43,,-3414036,1811140,-5225176,存储、军工,-1.54,50685519,1290962400,0.455791,0
002858,力盛体育,0.8,232696,-0.06,16.77,-4079492,-2.04,,-4079492,3722748,-7802240,体育产业、web3.0,-1.99,67936990,2097756884,0.809523,0
300860,锋尚文化,0.1,165760,-0.49,57.8,-4295853,-2.84,,-4295853,1962266,-6258119,首发经济、低空经济,-2.36,43592779,2811920916,0.641842,0
688334,西高院  ,0.8,41565,-0.58,16.9,-4688717,-2.26,,-4688717,5667562,-10356279,智能电网、军工,-1.69,39428253,1206566695,0.859887,0
301289,国缆检测,0.4,262119,-0.23,56.2,-5522855,0.54,,-5522855,11348988,-16871843,核电、超导概念,0.77,117193299,1424410937,1.01407,0
300572,安车检测,0.3,42120,-1.82,16.16,-6009071,-2.06,,-6009071,3584194,-9593265,汽车检测、汽车零部件,-0.25,34337913,2723497634,0.905495,0
002243,力合科创,5.9,3570045,-1.16,8.35,-6788947,-2.79,,-6788947,25926046,-32714993,深圳、芯片,-1.65,180835922,4413753543,2.47097,0
300887,谱尼测试,0.4,70992,-0.1,20.49,-7161441,-1.96,,-7161441,4273705,-11435146,特斯拉概念、汽车零部件,-1.87,59257721,3985260564,0.936868,0
600826,兰生股份,0.7,132250,0.52,11.22,-9188861,-1.92,,-9188861,3755831,-12944692,上海、首发经济,-2.43,37757268,2207551164,1.02108,0
300416,苏试试验,1.2,424764,-0.74,17.42,-11942564,-1.08,,-11942564,5910872,-17853436,特斯拉概念、汽车零部件,-0.34,82662111,5974419377,0.630821,0
