股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002269,美邦服饰,14.0,3033243,5.3,1.66,108403375,9.93,首板,108403375,170856527,-62453152,服装家纺、数字经济,4.4,265292093,2153449981,6.45361,0
300199,翰宇药业,0.1,921269,-0.49,12.88,71637513,5.31,,71637513,270048101,-198410588,减肥药、医药,5.83,810867404,8308798404,1.25411,24725959
688089,嘉必优  ,2.1,4855037,0.28,19.65,45951869,11.78,,45951869,143607923,-97656054,并购重组、医药,11.46,438323934,1843805370,4.83793,0
600216,浙江医药,0.2,711578,-0.1,9.97,45514317,3.85,,45514317,85302003,-39787686,维生素、年报增长,3.96,257605536,6009618227,1.69479,10803049
600704,物产中大,0.5,1585386,0.21,4.72,33816698,0.43,,33816698,100769722,-66953024,资产管理、金融概念,0.21,234799980,13701565693,1.29752,21856215
002292,奥飞娱乐,3.4,7995400,2.49,7.09,31920472,3.81,,31920472,157166569,-125246097,谷子经济、字节概念,1.29,685294073,5827126028,2.37506,20397619
300009,安科生物,0.2,224870,-0.2,10.22,29320405,2.51,,29320405,61039520,-31719115,AI医疗、人工智能,2.71,260372501,10996760449,0.923532,3068748
600200,江苏吴中,0.7,1724625,0.0,10.96,25235101,0.09,,25235101,100306690,-75071589,医美、年报增长,0.09,400819263,6429519471,0.845113,0
603518,锦泓集团,0.2,377568,0.1,10.42,14596452,1.66,,14596452,46233412,-31636960,小红书概念、服装家纺,1.56,206661882,2378059891,1.09612,0
600645,中源协和,0.5,227398,0.0,17.8,14424864,4.89,,14424864,70909023,-56484159,再生医学、干细胞,4.89,257133547,6516585689,3.27561,0
300482,万孚生物,1.8,425484,0.38,27.67,13583914,3.79,,13583914,41152537,-27568623,新冠检测、DeepSeek,3.4,265561908,6827872061,1.04217,3458515
002648,卫星化学,1.3,1132164,-0.31,19.28,11935875,0.84,,11935875,143810238,-131874363,氢能源、光伏,1.15,452786749,28955420102,0.684899,3427659
600814,杭州解百,1.6,398610,0.94,6.62,11151127,3.6,,11151127,18645784,-7494657,零售、多胎概念,2.64,97749238,1556689401,2.4266,0
002862,实丰文化,3.6,1273740,2.0,13.95,9034582,3.1,,9034582,18417533,-9382951,AI玩具、谷子经济,1.09,141687680,903221423,2.84999,0
300783,三只松鼠,0.8,2157569,1.62,24.64,8677253,2.24,,8677253,28301568,-19624315,食品饮料、跨境电商,0.61,205307341,4758994300,0.955685,0
600479,千金药业,11.0,1266660,-0.09,11.55,7509279,1.67,,7509279,13852711,-6343432,医疗器械、医药,1.76,97570809,3460921818,1.20864,0
002502,ST鼎龙,30.1,15699474,0.0,1.56,7084731,4.7,首板,7084731,19073755,-11989024,ST板块、化工,4.7,43261389,1032731662,1.42164,0
300966,共同药业,4.4,252770,1.13,17.77,6605253,11.62,,6605253,19825947,-13220694,合成生物、医药,10.37,117081065,1190887405,3.21872,0
300272,开能健康,1.5,1218328,-0.19,5.43,6542475,1.12,,6542475,27345433,-20802958,再生医学、医美,1.31,139187495,1897913220,1.20127,0
000950,重药控股,0.1,467441,0.0,5.45,6453981,2.25,,6453981,37804128,-31350147,医药、养老概念,2.25,143754505,4256908784,1.57656,0
688606,奥泰生物,0.1,189836,-1.24,66.5,5470506,-2.09,,5470506,20817663,-15347157,医药、科创板,-0.86,55888198,2340816033,1.17448,3628636
600757,长江传媒,2.2,640596,-0.52,7.55,5167211,-1.05,,5167211,29502772,-24335561,文化传媒、教育,-0.53,138316532,4010696389,0.75966,0
300583,赛托生物,0.5,385000,-2.17,14.71,5109194,2.8,,5109194,13646024,-8536830,合成生物、医药,5.07,109162181,1513147699,3.08547,0
000710,贝瑞基因,0.3,1485106,-0.47,8.7,4576451,1.4,,4576451,26144110,-21567659,基因疗法、新冠检测,1.87,235203378,1790606841,1.48508,0
300289,利德曼,0.9,282952,-0.22,4.67,4479179,3.09,,4479179,12703848,-8224669,病毒防治、医疗器械,3.32,82363233,1358785865,2.88882,0
301004,嘉益股份,1.1,447220,0.73,77.75,4407258,3.32,,4407258,28282999,-23875741,外贸、智能家居,2.57,111792980,2054294950,1.16953,0
000915,华特达因,0.4,305386,-0.59,35.74,4341681,0.06,,4341681,9718148,-5376467,医药、环保,0.65,89293616,5984243605,0.770997,0
002173,创新医疗,2.5,1872550,0.35,8.47,3878525,0.0,,3878525,33152242,-29273717,脑机接口、民营医院,-0.35,150010816,2442434078,0.818873,0
600429,三元股份,0.3,120680,-0.46,4.44,3543078,2.54,,3543078,12975402,-9432324,乳业、食品饮料,3.02,52349090,2041795911,1.96286,4398175
002224,三力士,0.2,169920,0.0,4.84,3489712,0.83,,3489712,7703850,-4214138,化工、轮胎,0.83,36863105,2359822855,1.02879,0
