本数据策略分享会专用，由邢不行整理，微信：xbx6660
股票代码,股票名称,交易日期,开盘价,最高价,最低价,收盘价,前收盘价,成交量,成交额,流通市值,总市值,净利润TTM,现金流TTM,净资产,总资产,总负债,净利润(当季),中户资金买入额,中户资金卖出额,大户资金买入额,大户资金卖出额,散户资金买入额,散户资金卖出额,机构资金买入额,机构资金卖出额,沪深300成分股,上证50成分股,中证500成分股,中证1000成分股,中证2000成分股,创业板指成分股,新版申万一级行业名称,新版申万二级行业名称,新版申万三级行业名称,09:35收盘价,09:45收盘价,09:55收盘价
sh688368,晶丰明源,2019-11-04,68.25,69.24,67.87,67.88,68.06,940646.0,64436113.0,955431364.0,4181408000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2956.34,2917.18,1740.12,2192.8,1747.1,1162.38,0.0,171.2,,,,,,,电子,半导体,集成电路,68.9,68.99,68.7
sh688368,晶丰明源,2019-11-05,67.04,67.4,64.68,65.28,67.88,1735691.0,113447171.0,918835584.0,4021248000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4671.18,4521.47,3029.28,4686.78,3286.47,1804.5,357.72,331.9,,,,,,,电子,半导体,集成电路,65.88,65.67,64.99
sh688368,晶丰明源,2019-11-06,65.0,65.86,64.13,64.3,65.28,1157674.0,75158797.0,905041790.0,3960880000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2705.93,3343.95,2567.77,2390.42,1917.15,1456.46,324.99,325.0,,,,,,,电子,半导体,集成电路,65.05,64.72,65.6
sh688368,晶丰明源,2019-11-07,63.7,66.64,63.7,66.0,64.3,1502866.0,98754654.0,928969800.0,4065600000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4977.39,4514.6,2705.41,2271.78,1811.64,2841.6,380.97,247.43,,,,,,,电子,半导体,集成电路,64.05,64.28,64.63
sh688368,晶丰明源,2019-11-08,65.92,67.39,65.52,65.6,66.0,1147343.0,76119691.0,923339680.0,4040960000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2541.31,3055.65,2022.44,1798.69,1484.02,1311.97,118.55,0.0,,,,,,,电子,半导体,集成电路,65.58,65.85,66.49
sh688368,晶丰明源,2019-11-11,64.87,64.87,60.43,60.7,65.6,1592650.0,99028515.0,854370710.0,3739120000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,4148.79,3324.43,1896.87,4252.74,3631.03,1319.72,226.09,1005.92,,,,,,,电子,半导体,集成电路,64.23,63.65,63.84
sh688368,晶丰明源,2019-11-12,60.59,61.71,60.5,60.89,60.7,692778.0,42337958.0,857045017.0,3750824000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,1888.55,1953.59,1013.15,782.57,1029.91,1166.83,302.16,330.77,,,,,,,电子,半导体,集成电路,60.93,61.39,60.7
sh688368,晶丰明源,2019-11-13,60.86,62.85,60.7,61.83,60.89,939014.0,58111484.0,870275799.0,3808728000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,2889.36,2584.38,1398.14,1298.06,1341.82,1743.08,181.79,185.58,,,,,,,电子,半导体,集成电路,60.72,61.26,61.58
sh688368,晶丰明源,2019-11-14,61.99,65.9,61.53,64.72,61.83,2061714.0,132753487.0,910953416.0,3986752000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,5726.64,5848.71,4505.59,3132.99,2680.61,4073.82,362.42,219.75,,,,,,,电子,半导体,集成电路,61.87,61.98,62.32
sh688368,晶丰明源,2019-11-15,64.34,65.88,62.8,64.49,64.72,1508728.0,97434258.0,907716097.0,3972584000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3578.82,4310.06,2023.41,3100.33,4011.25,2332.95,129.86,0.0,,,,,,,电子,半导体,集成电路,63.62,63.8,64.16
sh688368,晶丰明源,2019-11-18,64.61,66.5,64.55,65.28,64.49,1402664.0,92364369.0,918835584.0,4021248000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3246.37,4082.54,2625.05,2564.5,3364.94,2476.19,0.0,113.13,,,,,,,电子,半导体,集成电路,64.8,65.28,65.87
sh688368,晶丰明源,2019-11-19,65.0,66.98,64.93,66.65,65.28,1273539.0,84686983.0,938118745.0,4105640000.0,,,321548318.51,548092293.03,226543974.52,27650715.6,3697.81,3697.22,2417.82,2555.46,2252.81,1990.06,100.19,225.9,,,,,,,电子,半导体,集成电路,65.23,65.89,66.28
