±æ ˝æ›≤ﬂ¬‘∑÷œÌª·◊®”√£¨”…–œ≤ª––’˚¿Ì£¨Œ¢–≈£∫xbx6660
π…∆±¥˙¬Î,π…∆±√˚≥∆,Ωª“◊»’∆⁄,ø™≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€, ’≈Ãº€,«∞ ’≈Ãº€,≥…Ωª¡ø,≥…Ωª∂Ó,¡˜Õ® –÷µ,◊‹ –÷µ,æª¿˚»ÛTTM,œ÷Ω¡˜TTM,æª◊ ≤˙,◊‹◊ ≤˙,◊‹∏∫’Æ,æª¿˚»Û(µ±ºæ),÷–ªß◊ Ω¬Ú»Î∂Ó,÷–ªß◊ Ω¬Ù≥ˆ∂Ó,¥Ûªß◊ Ω¬Ú»Î∂Ó,¥Ûªß◊ Ω¬Ù≥ˆ∂Ó,…¢ªß◊ Ω¬Ú»Î∂Ó,…¢ªß◊ Ω¬Ù≥ˆ∂Ó,ª˙ππ◊ Ω¬Ú»Î∂Ó,ª˙ππ◊ Ω¬Ù≥ˆ∂Ó,ª¶…Ó300≥…∑÷π…,…œ÷§50≥…∑÷π…,÷–÷§500≥…∑÷π…,÷–÷§1000≥…∑÷π…,÷–÷§2000≥…∑÷π…,¥¥“µ∞Â÷∏≥…∑÷π…,–¬∞Ê…ÍÕÚ“ªº∂––“µ√˚≥∆,–¬∞Ê…ÍÕÚ∂˛º∂––“µ√˚≥∆,–¬∞Ê…ÍÕÚ»˝º∂––“µ√˚≥∆,09:35 ’≈Ãº€,09:45 ’≈Ãº€,09:55 ’≈Ãº€
sz000566,«Ì∫£“©£¡,1994-05-25,8.8,8.8,7.48,7.75,5.8,7237100.0,57088000.0,193750000.0,775000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-05-26,7.6,7.68,7.4,7.4,7.75,3333800.0,24999000.0,185000000.0,740000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-05-27,7.3,7.5,7.16,7.25,7.4,1973800.0,14493078.0,181250000.0,725000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-05-30,7.0,7.08,6.68,6.8,7.25,1636100.0,11271000.0,170000000.0,680000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-05-31,6.5,7.2,6.5,6.88,6.8,1827400.0,12633000.0,172000000.0,688000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-01,6.8,6.88,6.3,6.35,6.88,1847500.0,12211000.0,158750000.0,635000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-02,6.25,6.45,6.21,6.32,6.35,1148000.0,7284000.0,158000000.0,632000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-03,6.32,6.56,6.28,6.32,6.32,1002100.0,6409000.0,158000000.0,632000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-06,6.28,6.28,6.15,6.2,6.32,762900.0,4740000.0,155000000.0,620000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-07,6.23,6.23,6.15,6.2,6.2,267500.0,1659000.0,155000000.0,620000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-08,6.11,6.29,6.0,6.22,6.2,628100.0,3879000.0,155500000.0,622000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-09,6.22,6.28,6.1,6.15,6.22,506200.0,3127907.0,153750000.0,615000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-10,6.05,6.2,6.03,6.1,6.15,237800.0,1452000.0,152500000.0,610000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-13,6.0,6.04,5.71,5.8,6.1,548900.0,3202000.0,145000000.0,580000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-14,5.74,5.8,5.46,5.5,5.8,521500.0,2893000.0,137500000.0,550000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-15,5.5,5.6,5.45,5.48,5.5,241800.0,1333000.0,137000000.0,548000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-16,5.48,5.78,5.36,5.68,5.48,478500.0,2645000.0,142000000.0,568000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-17,5.73,5.95,5.43,5.9,5.68,833000.0,4770000.0,147500000.0,590000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-20,5.9,5.9,5.45,5.45,5.9,601400.0,3409000.0,136250000.0,545000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-21,5.37,5.46,5.33,5.45,5.45,464300.0,2501000.0,136250000.0,545000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-22,5.45,5.6,5.4,5.48,5.45,287000.0,1582000.0,137000000.0,548000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-23,5.48,5.55,5.45,5.5,5.48,363900.0,2002668.0,137500000.0,550000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-24,5.48,5.52,5.3,5.5,5.5,458000.0,2500621.0,137500000.0,550000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-27,5.25,5.34,5.1,5.1,5.5,339800.0,1786141.0,127500000.0,510000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-28,5.1,5.18,5.0,5.12,5.1,322300.0,1650527.0,128000000.0,512000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-29,5.1,5.35,5.0,5.14,5.12,239300.0,1239914.0,128500000.0,514000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-06-30,5.14,5.26,5.05,5.2,5.14,161300.0,826926.0,130000000.0,520000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-07-01,5.2,5.21,4.9,4.9,5.2,63100.0,320055.0,122500000.0,490000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-07-04,4.8,4.8,4.59,4.59,4.9,112000.0,521309.0,114750000.0,459000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
sz000566,«Ì∫£“©£¡,1994-07-08,4.3,4.55,4.3,4.44,4.59,455700.0,2011076.0,111000000.0,444000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,
