股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
600585,海螺水泥,0.4,1454875,0.23,25.77,79804149,0.31,,79804149,138852053,-59047904,地产链、光伏,0.08,451511346,53365701684,0.568737,0
600326,西藏天路,0.2,145632,-0.17,6.11,18049305,3.04,,18049305,82262181,-64212876,基础建设、地产链,3.21,249437392,4415412293,1.28089,13598858
000401,冀东水泥,4.9,121675,0.39,7.74,17106847,0.26,,17106847,22767829,-5660982,水泥、并购重组,-0.13,57294792,7555709706,0.993037,0
002088,鲁阳节能,4.4,566040,2.01,18.92,3625084,8.42,,3625084,15483057,-11857973,储能、并购重组,6.29,124379086,3190705900,3.27061,0
002694,顾地科技,0.9,10773,0.2,5.33,3354796,4.1,,3354796,5648189,-2293393,水利、化工,3.9,37422039,2045057841,2.62714,0
000877,天山股份,1.7,109779,0.35,8.47,3292711,-0.12,,3292711,5988104,-2695393,建材、并购重组,-0.47,33441204,12522242540,0.360951,0
002302,西部建设,3.7,91904,-0.28,7.23,2978417,0.42,,2978417,5039352,-2060935,西部大开发、建材,0.7,36702004,4013775357,0.67244,0
002457,青龙管业,0.4,56760,-0.35,8.66,2914850,0.35,,2914850,10002701,-7087851,西部大开发、水利,0.7,52729050,1990164008,0.921416,0
600819,耀皮玻璃,0.1,64416,-0.2,4.95,2696191,1.23,,2696191,8931418,-6235227,光伏玻璃、军工,1.43,49295755,1188661176,1.03015,0
002205,国统股份,1.2,87648,-0.19,10.5,2619169,-0.76,,2619169,6020429,-3401260,国有企业、风电,-0.57,40955509,1362486023,0.555373,0
600668,尖峰集团,0.0,0,0.0,11.55,1795470,0.79,,1795470,3616556,-1821086,医药、地产链,0.79,18517969,3332292356,0.799805,0
600176,中国巨石,1.3,102490,0.07,13.97,1602324,0.94,,1602324,37020252,-35417928,风电材料、化工,0.87,165581917,25845361226,1.09203,3432015
300196,长海股份,0.0,0,0.0,13.68,1508431,0.22,,1508431,2322449,-814018,玻纤、化工,0.22,9032323,2638504137,0.918483,0
000012,南玻Ａ,0.1,22422,0.16,6.04,1467463,-0.17,,1467463,6523659,-5056196,玻璃、特斯拉概念,-0.33,42823675,9001834215,0.344484,0
002225,濮耐股份,1.6,69936,0.0,3.7,1230886,-0.54,,1230886,3092727,-1861841,乌克兰概念、有色金属,-0.54,15889364,2472006310,0.996587,0
000789,万年青,0.6,10426,0.0,7.96,1147668,-0.75,,1147668,1561498,-413830,地产链、地方国企,-0.75,17395916,3583722385,0.657259,0
300737,科顺股份,0.2,87174,-0.79,10.06,969347,-0.4,,969347,13928818,-12959471,基础建设、年报增长,0.4,78926851,6758437858,0.534479,0
688119,中钢洛耐,0.0,121677,-0.5,5.86,905234,-2.01,,905234,7106642,-6201408,新材料概念、国有企业,-1.51,60083257,1355399307,3.71259,0
600678,四川金顶,0.2,35510,-0.38,5.38,852999,1.13,,852999,2048824,-1195825,机器人概念、国有企业,1.51,22292230,1492638843,0.992853,0
