股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002167,东方锆业,1.1,486497,0.39,5.16,1174050,0.19,,1174050,7462200,-6288150,固态电池、有色金属,-0.19,55469080,2948206508,0.627864,0
002057,中钢天源,3.9,214452,-0.3,6.67,-437496,-0.15,,-437496,1844631,-2282127,稀土永磁、有色金属,0.15,21002531,3814682127,0.866265,0
002547,春兴精工,0.4,120500,0.0,2.45,-2848599,1.66,,-2848599,4402092,-7250691,机器人概念、通信,1.66,52729195,1960015803,0.761528,0
601958,金钼股份,1.3,841797,0.0,10.84,-5979407,-0.46,,-5979407,20488286,-26467693,有色金属、化工,-0.46,160214086,9787303782,0.751813,0
600362,江西铜业,0.3,2360250,-0.84,22.38,-30214620,-1.37,,-30214620,74179711,-104394331,有色金属、化工,-0.53,413727181,46444036924,0.840838,-5158203
