股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002229,鸿博股份,0.4,1459936,0.19,11.06,14383099,4.44,,14383099,65470052,-51086953,算力租赁、ChatGPT,4.24,432323227,5454397169,0.781369,0
600158,中体产业,5.1,1192959,0.4,7.86,7355196,5.65,,7355196,21116713,-13761517,体育产业、三季报增长,5.22,130824640,5544304038,1.28236,0
000917,电广传媒,0.5,42856,0.0,5.12,6577513,5.13,,6577513,30250682,-23673169,智谱AI、文化传媒,5.13,151855748,6048680568,1.39105,0
000681,视觉中国,0.5,120445,-0.27,11.81,6503906,6.59,,6503906,34615926,-28112020,AI智能体、知识产权,6.88,187893846,5778020815,2.03661,0
000729,燕京啤酒,0.8,187473,-0.44,9.06,6312689,0.55,,6312689,16736168,-10423479,啤酒、三季报增长,1.0,128082257,10779519961,0.788277,0
600600,青岛啤酒,1.1,1559160,-0.61,73.74,5927206,0.12,,5927206,46989062,-41061856,啤酒、三季报增长,0.74,232228952,51971589199,0.521908,0
300079,数码视讯,0.4,112985,0.0,4.13,5705710,7.83,,5705710,17266996,-11561286,人工智能、超高清视频,7.83,123466453,5043534365,1.98775,0
002878,元隆雅图,0.7,57024,-0.08,12.81,4524114,7.74,,4524114,7345674,-2821560,谷子经济、并购重组,7.83,89931418,1336963377,2.25184,0
300232,洲明科技,1.3,481096,0.0,5.21,4287450,4.83,,4287450,17362627,-13075177,Mini/Micro、AI智能体,4.83,101092933,4255080242,0.626763,0
600132,重庆啤酒,0.8,811800,-0.89,62.78,3167237,1.18,,3167237,44833949,-41666712,啤酒、并购重组,2.08,222830112,10332983863,0.814706,0
000558,天府文旅,1.2,204336,0.47,2.2,2476548,2.33,,2476548,4610937,-2134389,体育产业、成都市,1.85,22284175,1746371513,0.672794,0
002395,双象股份,0.3,316224,-0.54,15.13,3438284,2.79,,3438284,10995724,-7557440,足球概念、VR/AR/MR,3.35,124565928,1438472493,0.725196,0
603189,网达软件,10.6,569700,2.03,11.19,1922155,8.22,,1922155,5976858,-4054703,AI视觉、信创,6.07,76827427,1640837837,2.06261,0
002583,海能达,1.3,314066,0.0,3.99,1220418,6.97,,1220418,11212223,-9991805,量子科技、互联网金融,6.97,139524142,4404820422,1.27442,0
002899,英派斯,3.8,39540,0.0,13.6,985148,3.19,,985148,1418170,-433022,AI眼镜、体育产业,3.19,20865395,1079024543,1.73789,0
300005,探路者,1.1,45924,0.19,5.33,679446,3.5,,679446,2865404,-2185958,服装家纺、零售,3.29,32425836,3811957455,0.785536,0
603908,牧高笛  ,0.2,16152,0.15,20.63,395195,2.33,,395195,699695,-304500,户外运动、外贸,2.18,10327917,1094956987,0.649214,0
300651,金陵体育,0.0,194176,-0.42,12.44,386587,4.63,,386587,1280829,-894242,世界杯概念、江苏省,5.07,24363274,945319183,1.40309,0
300218,安利股份,23.0,173650,-0.13,15.27,-274329,0.99,,-274329,330057,-604386,化工、三季报增长,1.13,29090585,2158883958,0.81316,0
300389,艾比森,6.6,910441,-0.86,12.26,-302022,5.6,,-302022,2017915,-2319937,面板、数字经济,6.52,56088405,1525214635,1.17438,0
600573,惠泉啤酒,1.6,20240,0.23,8.92,-1112727,1.59,,-1112727,1334495,-2447222,国有企业、三季报增长,1.36,16758457,1115000000,0.502073,0
002780,三夫户外,5.9,153252,0.45,9.1,-1341612,2.59,,-1341612,902832,-2244444,户外运动、并购重组,2.13,20167611,1114880813,0.960862,0
600136,ST明诚  ,3082.0,1035552,5.0,1.6,-1474645,0.0,,-1474645,498000,-1972645,ST板块、武汉,-4.76,12464416,1579271634,2.23171,0
002461,珠江啤酒,0.1,7550,-0.26,7.63,-2185604,0.79,,-2185604,3007242,-5192846,三季报增长、年报增长,1.06,29339243,2678523735,0.803654,-4284974
002587,奥拓电子,0.4,30503,0.58,5.35,-4589431,4.09,,-4589431,11643223,-16232654,机器人概念、VR/AR/MR,3.48,62093049,2535285275,1.2151,0
300162,雷曼光电,0.5,256624,-0.58,7.08,-5416874,2.31,,-5416874,11244640,-16661514,玻璃基板、面板,2.91,152569961,1467792995,0.654686,0
000665,湖北广电,0.2,118678,-0.58,3.52,-6043636,2.03,,-6043636,5279972,-11323608,算力、广电网,2.62,39990049,2374637380,0.763343,0
000921,海信家电,1.7,566400,-0.05,36.99,-13205340,-2.09,,-13205340,107007986,-120213326,家电、汽车热管理,-2.04,476578142,14417765474,1.74103,8282524
300043,星辉娱乐,0.7,6890160,-2.44,2.46,-16072809,0.0,,-16072809,39314470,-55387279,文创产品、元宇宙,2.5,288055275,2055799556,1.58634,0
