股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
001299,美能能源,0.4,5760300,-0.22,20.06,99714024,9.98,首板,99714024,146974209,-47260185,天然气、西部大开发,10.22,329987093,940814000,0.757877,66071817
000010,美丽生态,15.5,6750330,1.05,3.16,91945172,10.1,2连板,91945172,172180766,-80235594,环保、天然气,8.97,457429236,1550837109,4.13435,9369679
002409,雅克科技,0.8,827190,0.73,62.04,30677419,-1.79,,30677419,94102397,-63424978,存储、大基金二期,-2.5,369568649,15178879976,0.935602,-3181667
000543,皖能电力,8.4,444880,0.3,6.69,12177364,0.15,,12177364,23305572,-11128208,电力、并购重组,-0.15,92794720,6836766955,0.758988,0
300680,隆盛科技,21.8,200996,0.0,18.7,10703687,1.41,,10703687,23664238,-12960551,商业航天、军工,1.41,113779984,2854879869,1.83366,-3101786
600759,洲际油气,3.7,218966,-0.37,2.73,8925325,1.11,,8925325,16655697,-7730372,石油石化、天然气,1.49,37649161,4316480835,1.60611,0
300483,首华燃气,0.2,1279152,0.0,13.61,8041187,3.42,,8041187,53833717,-45792530,天然气、并购重组,3.42,348960224,2436474577,0.950286,0
600979,广安爱众,0.2,76043,-0.29,3.41,5766847,-0.29,,5766847,13679116,-7912269,算力、天然气,0.0,42875402,2953682379,1.04063,0
002353,杰瑞股份,2.1,632649,-0.61,27.31,5198001,-2.6,,5198001,22869811,-17671810,天然气、石油石化,-2.01,212219599,12168737698,0.784968,0
600860,京城股份,0.4,1553640,-0.08,13.31,4826593,0.76,,4826593,51972407,-47145814,机器人概念、天然气,0.83,333167907,2841842214,0.837795,3004729
603393,新天然气,0.4,127700,-0.55,25.48,4697241,-0.78,,4697241,20153018,-15455777,天然气、并购重组,-0.23,79413375,6372171537,0.666932,0
601028,玉龙股份,0.5,156436,0.19,10.18,4517914,-1.55,,4517914,9699448,-5181534,黄金、石墨化,-1.74,68327801,4265557712,0.769061,0
001331,胜通能源,0.1,253675,-0.82,19.22,4178442,4.46,,4178442,15561436,-11382994,天然气、三季报增长,5.32,184408490,807240000,1.18137,0
601857,中国石油,0.4,1430122,-0.39,7.68,3310853,-0.13,,3310853,147485559,-144174706,中字头、石油石化,0.26,446330112,84464690693,0.763294,3681265
