股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
000567,海德股份,0.2,18980,-0.11,9.88,18328880,4.0,,18328880,28462779,-10133899,海南、并购重组,4.11,116168365,3506831880,1.73476,0
600259,广晟有色,1.4,259440,0.32,28.7,7868161,2.1,,7868161,19550147,-11681986,稀土永磁、有色金属,1.77,86212974,5748546952,0.990922,3448104
600515,海南机场,0.4,217427,0.58,3.54,7617586,2.02,,7617586,31686615,-24069029,海南、国有企业,1.43,110340069,19908979803,0.941182,3539999
600751,海航科技,1.0,193520,0.85,2.41,3946248,2.99,,3946248,12730437,-8784189,海南、平台经济,2.12,67574977,3142868431,1.34781,0
601969,海南矿业,0.6,146286,0.18,5.8,3786823,2.47,,3786823,4957334,-1170511,海南、铁矿石,2.29,67640873,2869285218,1.10744,0
002901,大博医疗,1.7,38208,0.03,31.43,2484374,-1.26,,2484374,7170990,-4686616,年报增长、医药,-1.29,60082061,2104240252,1.14051,0
300668,杰恩设计,0.1,13716,-0.17,23.37,1851375,2.05,,1851375,5730401,-3879026,基础建设、深圳,2.23,34044494,1147613246,0.887168,0
300189,神农种业,0.8,94620,0.71,2.89,1411791,2.12,,1411791,5408246,-3996455,海南、稀土永磁,1.4,43970263,2427725009,1.08033,0
002117,东港股份,6.2,516274,0.8,7.69,976627,2.4,,976627,11264281,-10287654,宇树机器人、DeepSeek,1.59,62402290,2951849360,1.09081,0
603069,海汽集团,5.2,373986,-0.25,16.03,899762,1.33,,899762,8384682,-7484920,免税、客运,1.58,48116564,2414922000,1.02621,0
002693,双成药业,0.2,37800,0.67,6.06,433158,1.68,,433158,5700714,-5267556,并购重组、肝炎概念,1.0,57065895,1268516304,0.877731,0
002159,三特索道,0.1,126160,1.02,16.22,320841,3.91,,320841,5453889,-5133048,旅游、年报增长,2.85,75864284,1612282329,0.502377,0
300599,雄塑科技,7.7,135519,0.0,6.92,-25567,1.62,,-25567,670270,-695837,海南、基础建设,1.62,25403670,1133661983,1.0241,0
000886,海南高速,45.4,358660,0.25,4.09,-56304,3.81,,-56304,3753422,-3809726,算力、旅游,3.54,39491608,2963738118,1.10508,0
000796,凯撒旅业,0.2,34144,0.57,3.52,-224348,0.57,,-224348,2176529,-2400877,海南、免税,0.0,17542164,1959767808,0.885505,0
605199,葫芦娃  ,0.6,55900,0.0,13.14,-381737,1.08,,-381737,0,-381737,流感、中药,1.08,24582032,1874667746,0.949828,0
000566,海南海药,1.2,106232,0.26,3.98,-518709,1.79,,-518709,1841386,-2360095,创新药、病毒防治,1.53,38659149,3029785730,0.942169,0
600221,海航控股,1.4,3459296,0.74,1.38,-548830,2.21,,-548830,54355572,-54904402,海南、三季报增长,1.47,127340389,34215383487,0.85294,0
000735,罗牛山,0.3,83160,0.4,5.14,-660439,2.39,,-660439,5997528,-6657967,海南、医药,1.98,46305281,4903120537,0.846896,0
002065,东华软件,0.7,362775,0.57,5.32,-763994,1.92,,-763994,18405357,-19169351,腾讯系AI 、国产软件,1.33,119279368,11516187728,1.15446,3179998
002596,海南瑞泽,2.3,163296,0.83,2.48,-783194,2.9,,-783194,2714023,-3497217,海南、基础建设,2.06,40833883,1978173909,1.20576,0
688676,金盘科技,0.7,315512,-0.03,38.4,-808889,-1.59,,-808889,14322720,-15131609,科创板、核电,-1.56,160189114,6147025356,0.692809,0
000571,新大洲A,0.4,333172,0.69,3.04,-1133691,4.83,,-1133691,26793515,-27927206,海南、成飞概念,4.11,105835394,1824901163,1.54851,0
601588,北辰实业,0.9,108675,0.0,1.84,-1489207,5.14,,-1489207,12544725,-14033932,房地产、地产链,5.14,61127958,2758160809,1.74795,0
000505,京粮控股,2.5,62521,0.17,6.24,-1951781,2.97,,-1951781,0,-1951781,海南、农业,2.8,24924840,1786872267,1.08273,0
000503,国新健康,0.5,220904,0.77,10.44,-2199635,0.97,,-2199635,23296871,-25496506,AI医疗、DRG/DIP,0.19,137306454,6920350188,1.07498,0
002320,海峡股份,3.5,301232,-0.56,5.5,-2621511,2.04,,-2621511,9699373,-12320884,海南、高送转,2.61,66678593,3360399853,0.957258,0
000657,中钨高新,2.3,658502,-0.98,8.12,-2639977,-0.25,,-2639977,14103904,-16743881,金属钨、工业母机,0.74,113125947,5529400108,0.885173,0
600684,珠江股份,0.4,53607,0.0,3.32,-3005287,3.43,,-3005287,4112168,-7117455,房地产、地产链,3.43,49139950,1953215052,1.05804,0
300324,旋极信息,0.2,208050,0.0,2.88,-3041068,1.05,,-3041068,9808137,-12849205,时空大数据、芯片,1.05,75898763,4480108782,1.04565,0
601118,海南橡胶,3.9,624890,0.0,4.05,-3204035,2.53,,-3204035,11107592,-14311627,海南、平台经济,2.53,65660523,6711520761,1.12065,0
603882,金域医学,0.5,129192,0.15,54.05,-3843327,0.56,,-3843327,11379859,-15223186,AI医疗、病毒防治,0.41,174174893,15402542080,1.08041,-6711755
000955,欣龙控股,0.3,192266,0.4,5.35,-4541381,7.0,,-4541381,50919037,-55460418,海南、病毒防治,6.57,204634236,2159068840,1.03635,-5837879
002163,海南发展,1.0,88800,0.5,8.19,-9983789,2.89,,-9983789,17445941,-27429730,海南、免税,2.37,78413498,4796655635,1.40247,-8035
600710,苏美达  ,2.8,451463,0.29,7.24,-10209314,6.31,,-10209314,11370420,-21579734,发电机、稀土永磁,6.0,146821904,4205629258,1.84036,0
603778,国晟科技,1.6,213180,0.48,4.12,-13498407,-0.96,,-13498407,6644913,-20143320,光伏、碳中和,-1.44,85606301,1927484611,0.90656,0
000793,华闻集团,3.0,4219174,-0.49,2.05,-21646694,0.99,,-21646694,25266367,-46913061,海南、稀土永磁,1.49,147466546,3476815817,1.45464,0
002229,鸿博股份,0.8,5328531,-0.04,21.81,-52843080,-1.93,,-52843080,142654188,-195497268,算力租赁、ChatGPT,-1.89,780527753,8383062104,0.771063,-10855774
002865,钧达股份,2.6,14996732,-1.29,72.49,-77978640,-3.23,,-77978640,310385140,-388363780,BC电池、TOPCon,-1.96,1215474230,9083008470,0.996457,-33905879
