股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
000977,浪潮信息,3.3,50333400,2.84,39.95,184583445,1.45,,184583445,1338389837,-1153806392,服务器、训推一体机,-1.36,3386171810,39956617915,1.4923,28014231
300229,拓尔思,0.5,2066913,0.0,16.63,72064030,3.23,,72064030,210503930,-138439900,知识蒸馏、ChatGPT,3.23,618916453,8808363920,1.37251,7130765
000863,三湘印象,1.9,92800,0.31,3.38,21978903,5.96,,21978903,58706840,-36727937,谷子经济、文创产品,5.62,196883683,2094907431,2.92866,9805570
300130,新国都,2.1,540672,1.0,20.81,13399646,-0.48,,13399646,31825525,-18425879,跨境支付、移动支付,-1.47,184042395,7920955324,1.02879,0
300468,四方精创,2.5,598260,1.44,8.59,10132426,3.12,,10132426,33591778,-23459352,跨境支付、数字经济,1.66,112462317,3276591932,1.2357,0
002235,安妮股份,1.8,305910,0.0,5.06,9509220,2.22,,9509220,28712814,-19203594,版权、知识产权,2.22,124497912,2319355155,1.53925,3260784
600571,信雅达  ,0.3,446265,0.0,10.64,9450590,0.85,,9450590,41762574,-32311984,腾讯概念、金融科技,0.85,191061010,3911301274,0.766183,4048321
300634,彩讯股份,0.4,524802,0.05,18.7,7120087,0.54,,7120087,39417096,-32297009,DeepSeek、RCS,0.48,217112397,5102153539,0.819595,0
603533,掌阅科技,0.4,769698,-0.1,21.18,6957013,0.62,,6957013,45210405,-38253392,字节概念、网红经济,0.71,303287902,4560676071,0.732466,0
600986,浙文互联,1.8,694884,0.21,4.75,5114889,0.42,,5114889,24867421,-19752532,算力、网红经济,0.21,109200738,5901401642,0.584949,-4790000
300663,科蓝软件,2.4,210080,1.0,10.17,3831192,1.7,,3831192,13419826,-9588634,鸿蒙概念、蚂蚁金服概念,0.69,80367196,3767636641,0.856977,0
300377,赢时胜,1.7,295880,0.18,5.76,3578097,1.41,,3578097,6993397,-3415300,互联网金融、金融科技,1.23,58368781,3718140639,0.641358,0
603918,金桥信息,1.3,337152,0.84,13.11,3380375,0.38,,3380375,13685394,-10305019,AI政务、国产软件,-0.46,100494229,3681882560,0.876565,0
603466,风语筑  ,0.3,77088,0.76,10.52,2968685,0.38,,2968685,12293744,-9325059,DeepSeek、文心千帆,-0.38,64868259,3449275243,0.633191,0
688365,光云科技,0.1,38940,0.14,7.27,2474015,2.83,,2474015,5065783,-2591768,DeepSeek、平台经济,2.68,39236543,1250653301,1.20985,0
301270,汉仪股份,0.6,108199,0.53,26.58,2169150,1.26,,2169150,5841370,-3672220,腾讯系AI 、文化传媒,0.72,40205626,1968557993,0.957796,0
000676,智度股份,0.5,508635,0.63,6.4,2134980,1.43,,2134980,48827447,-46692467,文化传媒、数字货币,0.79,207445352,6290704448,0.980804,0
002230,科大讯飞,0.5,3107518,0.51,42.84,1563363,-0.37,,1563363,338139232,-336575869,人工智能、AI智能体,-0.88,1176530647,82268115858,1.02963,3243810
002117,东港股份,16.2,585209,-0.65,7.7,1502764,-0.52,,1502764,5655697,-4152933,宇树机器人、财税数字化,0.13,41910603,2955687916,1.25702,0
300071,福石控股,0.6,420352,0.0,2.62,1383624,2.34,,1383624,4874801,-3491177,DeepSeek、web3.0,2.34,31481052,1801124349,0.971979,0
300047,天源迪科,2.0,222768,0.14,7.2,1158300,0.98,,1158300,9676854,-8518554,大数据、互联网金融,0.84,76893022,3781030282,0.853331,0
002803,吉宏股份,0.5,169200,0.07,14.27,956586,1.28,,956586,19205232,-18248646,跨境电商、数字经济,1.21,107634766,3313325213,0.920727,0
600556,天下秀  ,1.1,242047,0.0,4.36,872937,0.69,,872937,10443833,-9570896,小红书概念、平台经济,0.69,73712405,4814900412,0.876503,0
301052,果麦文化,0.9,429381,0.45,24.53,693560,1.41,,693560,16247180,-15553620,文生视频、文化传媒,0.95,98556441,1706417232,0.838633,0
002530,金财互联,1.3,188722,-0.13,7.4,-127932,-0.54,,-127932,3893839,-4021771,AI智能体、华为概念,-0.4,42593839,3715770219,0.699295,0
300051,琏升科技,0.0,0,0.0,7.73,-250782,-0.9,,-250782,459419,-710201,异质结电池、web3.0,-0.9,17073960,1911137762,0.698569,0
300479,神思电子,0.1,15340,1.39,15.11,-419022,-0.13,,-419022,1912416,-2331438,算力、ChatGPT,-1.5,24886081,2178859357,0.531045,0
002467,二六三,0.4,69378,0.27,3.76,-445119,1.08,,-445119,13566745,-14011864,智谱AI、云计算,0.8,92076734,4311637003,0.934631,0
603825,华扬联众,0.2,114176,0.34,8.99,-594941,1.12,,-594941,5049419,-5644360,腾讯概念、腾讯系AI ,0.78,52262249,1252893603,0.582512,0
002657,中科金财,0.7,568944,0.86,12.95,-881697,0.78,,-881697,5995576,-6877273,AI智能体、数字货币,-0.08,80814557,3981979334,0.771696,0
688360,德马科技,0.5,236657,1.23,17.36,-957574,-2.91,,-957574,4926565,-5884139,专精特新、web3.0,-4.09,40292968,1249022699,1.277,0
300781,因赛集团,0.3,2235000,0.3,49.82,-1089716,-0.06,,-1089716,57888631,-58978347,并购重组、文化传媒,-0.36,328768408,2462236512,0.711044,0
300612,宣亚国际,0.9,260176,0.28,14.18,-1188519,0.57,,-1188519,2787779,-3976298,元宇宙、AI智能体,0.28,37858997,1750252766,0.764198,0
603203,快克智能,0.9,38754,-0.55,21.73,-1713520,0.37,,-1713520,0,-1713520,新型工业化、芯片,0.93,25541695,1982346230,0.656633,0
301316,慧博云通,1.3,155496,1.09,16.75,-1750583,1.27,,-1750583,3518993,-5269576,互联网金融、文心千帆,0.18,60030304,3002635305,0.776038,0
605168,三人行  ,1.4,824912,0.27,47.71,-2122624,-0.25,,-2122624,34073561,-36196185,人工智能、web3.0,-0.52,166030004,3443598953,0.787558,0
002474,榕基软件,0.9,120259,0.4,5.07,-2138918,2.01,,-2138918,3711105,-5850023,AI政务、国产软件,1.6,50271907,2550980193,0.946058,0
300287,飞利信,1.2,156464,-0.39,2.6,-2255906,1.96,,-2255906,7230997,-9486903,数据要素、军工,2.36,58831948,3305722869,0.668099,0
603189,网达软件,0.2,1365840,-1.95,12.59,-2715409,-2.02,,-2715409,11669008,-14384417,AI视觉、信创,-0.08,126868653,1846125860,0.712223,0
002858,力盛体育,0.4,143040,0.25,12.02,-3791500,1.09,,-3791500,2754944,-6546444,体育产业、web3.0,0.84,68839551,1508109363,0.693583,0
002362,汉王科技,0.8,299805,0.0,18.22,-4364580,0.28,,-4364580,3678590,-8043170,AI智能体、机器视觉,0.28,75103548,2987859397,0.763798,0
300166,东方国信,1.4,725900,1.01,6.95,-4616184,0.29,,-4616184,9528899,-14145083,信创、新型工业化,-0.71,97307988,5853547729,0.759151,0
