股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
600787,中储股份,2.0,136840,-0.23,4.44,2410690,0.68,,2410690,3164062,-753372,物流、三季报增长,0.91,26533340,3658698968,0.540859,0
600800,渤海化学,3.6,156330,-1.03,2.05,1933133,5.13,,1933133,5354557,-3421424,石油石化、化工,6.22,41081556,1278274487,2.99532,0
600322,津投城开,0.6,46020,0.0,1.31,1263330,0.76,,1263330,6731624,-5468294,房地产、并购重组,0.77,29206272,1067360847,0.921796,0
000965,天保基建,0.5,75692,1.2,2.56,972062,1.99,,972062,6638035,-5665973,房地产、地产链,0.79,35708293,1379630963,0.695171,0
600082,海泰发展,0.7,25938,0.51,2.0,495586,1.52,,495586,850027,-354441,房地产、国有企业,1.01,8198126,954504793,0.603245,0
600717,天津港  ,0.8,494100,-0.23,4.25,20056,-0.23,,20056,7757344,-7737288,国有企业、一带一路,0.0,59672435,5312500341,0.746847,0
000695,滨海能源,4.0,104030,-0.29,10.34,0,0.1,,0,0,0,固态电池、三季报增长,0.39,6630763,1610699362,0.463682,0
601686,友发集团,1.0,39750,-0.56,5.32,-350303,-0.19,,-350303,0,-350303,基础建设、并购重组,0.38,4783486,5135355997,0.45416,0
002786,银宝山新,52.5,13551792,0.0,7.28,-38269829,-3.19,,-38269829,42092819,-80362648,机器人概念、汽车热管理,-3.19,447722918,2079565102,3.82084,-3113467
000415,渤海租赁,0.4,227480,0.0,2.17,-46896027,-1.36,,-46896027,27551657,-74447684,低空经济、金融概念,-1.36,147149503,8414808014,0.978028,0
