股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
300364,中文在线,0.5,18526096,0.47,25.82,124870526,2.06,,124870526,1033262914,-908392388,文化传媒、网红经济,1.57,2532822808,16473227073,0.9416,86239512
001339,智微智能,0.7,44621600,-5.13,39.42,85735207,9.99,6天5板,85735207,434902002,-349166795,机器人概念、算力,15.94,1009098566,2797223490,1.33358,72924044
003032,传智教育,12.5,26327856,3.01,15.9,54269322,4.19,,54269322,378707684,-324438362,职业教育、鸿蒙概念,1.15,1445809460,2715393096,4.20583,75071229
300002,神州泰岳,0.9,3664916,-1.08,9.12,27236173,-1.51,,27236173,151956999,-124720826,游戏、AIGC,-0.44,641083723,15003634580,0.763018,0
000529,广弘控股,1.1,180960,0.14,7.35,25230594,5.76,,25230594,62136417,-36905823,猪肉、并购重组,5.6,256369732,1859174264,4.30423,0
002308,*ST威创,0.5,1679184,0.0,3.53,16510075,4.44,,16510075,61339968,-44829893,信创、虚拟电厂,4.44,297279359,2082136038,1.03989,10095847
600661,昂立教育,2.8,1844487,-0.74,11.11,15602771,2.78,,15602771,39386492,-23783721,教育、并购重组,3.54,331311371,2247680735,1.64409,0
605577,龙版传媒,0.6,4497618,-2.75,22.99,14540348,-4.21,,14540348,71950855,-57410507,文化传媒、一带一路,-1.5,421342301,2096138411,0.778748,3374851
300830,金现代,8.6,1646634,1.24,8.3,14390817,2.72,,14390817,25601238,-11210421,AI智能体、超超临界概念,1.47,223253953,2297053999,4.93921,0
002657,中科金财,1.0,556690,-0.28,18.14,13269378,1.06,,13269378,57246790,-43977412,AI智能体、数字货币,1.34,295807914,5577845957,1.46095,0
600071,凤凰光学,0.5,2409750,0.13,23.15,13205767,3.03,,13205767,83674529,-70468762,股权转让、安防,2.89,498385492,3444139262,1.95922,0
000727,冠捷科技,0.3,308568,-0.39,2.56,9882756,-1.16,,9882756,46338833,-36456077,消费电子、央企,-0.78,135644342,6541229102,0.524831,0
300571,平治信息,0.4,276696,-0.44,34.59,8961435,0.82,,8961435,20441489,-11480054,算力、元宇宙,1.26,82377324,3134056427,0.558337,0
601928,凤凰传媒,6.1,2405019,0.87,9.37,8514804,2.18,,8514804,59570726,-51055922,文化传媒、高股息,1.3,255483851,6493094506,0.948237,-9130145
603206,嘉环科技,5.1,1061832,0.0,18.71,8355903,3.26,,8355903,20005645,-11649742,阿里系AI、国产软件,3.26,201172207,1631511775,3.57744,0
000156,华数传媒,0.4,228010,-0.26,7.62,6287487,0.66,,6287487,10201411,-3913924,文化传媒、破净股概念,0.93,79547406,6581276882,0.93116,0
000810,创维数字,0.5,3983950,-0.61,14.54,5484592,-1.16,,5484592,98694464,-93209872,AI眼镜、AIGC,-0.55,463614145,7746609674,0.449212,-4622267
603721,中广天择,0.3,1554400,-0.33,27.15,4969973,0.97,,4969973,44352020,-39382047,阶跃星辰、湖南,1.31,308809816,1751447314,0.695059,0
002093,国脉科技,1.3,637884,0.27,7.56,4625564,0.53,,4625564,15740969,-11115405,通信、数据确权,0.27,109628647,3885323798,1.84267,0
600602,云赛智联,0.4,458211,0.62,11.34,4267421,0.35,,4267421,25983234,-21715813,阶跃星辰、国资云,-0.26,130276323,6829283065,0.744313,0
300338,*ST开元,0.2,97674,0.0,4.45,3492917,-0.22,,3492917,9071425,-5578508,ST板块、湖南,-0.22,38917986,1455194794,0.61055,0
000812,陕西金叶,0.2,210532,-0.58,5.13,2488284,-0.19,,2488284,11526618,-9038334,职业教育、电子烟,0.39,48958637,3392124811,0.62685,0
003005,竞业达,0.8,163998,-0.03,30.52,2426728,0.46,,2426728,9949448,-7522720,DeepSeek、算力,0.49,79103466,2106200048,0.693801,0
002467,二六三,0.6,149439,-0.22,4.59,2349254,0.22,,2349254,9588629,-7239375,智谱AI、云计算,0.44,66751167,5228262593,0.789994,0
300344,立方数科,0.4,92960,-0.88,5.71,2203056,1.06,,2203056,10370980,-8167924,AI智能体、东数西算,1.96,71104588,2011611556,1.29495,0
002279,久其软件,3.2,709759,0.47,6.47,2068777,0.47,,2068777,19647186,-17578409,信创、网红经济,0.0,104222213,4093622900,1.07649,0
600455,博通股份,2.0,540120,0.0,26.07,1924842,1.36,,1924842,8051512,-6126670,西部大开发、职业教育,1.36,88831230,1293020452,1.50483,0
300688,创业黑马,0.8,157850,-0.35,28.29,1898954,-1.77,,1898954,12451945,-10552991,阿里系AI、并购重组,-1.43,81920297,3439776735,0.664614,0
600730,中国高科,0.6,280512,-0.17,5.8,1884363,0.52,,1884363,9390270,-7505907,人工智能、教育,0.69,71074160,2724401023,0.887674,0
600653,申华控股,1.9,55384,0.0,1.84,1711384,0.0,,1711384,14524718,-12813334,汽车服务、绿色电力,0.0,50214422,2801026727,2.18152,0
603377,ST东时  ,0.1,128736,-0.23,4.38,1590615,1.15,,1590615,5204612,-3613997,ST板块、破净股概念,1.39,71601318,1737434653,0.475431,0
300010,豆神教育,2.7,470528,-0.39,2.59,1443213,0.78,,1443213,6411878,-4968665,AI智能体、教育,1.17,32111389,2662502032,0.454834,0
300050,世纪鼎利,0.5,76140,-0.21,4.74,1436845,0.64,,1436845,2950042,-1513197,华为海思、并购重组,0.85,32210449,2127593702,0.823591,0
600576,祥源文旅,0.6,86412,0.0,7.59,1385930,0.13,,1385930,1719450,-333520,谷子经济、文创产品,0.13,38289602,3537811662,0.783842,0
300192,科德教育,1.6,571923,-0.61,9.85,1258832,-0.2,,1258832,12428417,-11169585,教育、并购重组,0.41,98965657,1985455184,0.993583,0
300440,运达科技,0.6,56903,-0.27,7.4,1010233,-0.13,,1010233,1010233,0,西部大开发、三季报增长,0.14,31057931,2021486421,0.875371,0
