股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
301236,软通动力,1.1,17835798,-0.02,63.99,163607052,1.91,,163607052,2317800728,-2154193676,鸿蒙概念、华为昇腾,1.93,5077446900,37617978764,1.57222,346853467
600536,中国软件,1.9,18920356,0.36,54.66,115180054,2.17,,115180054,1373865923,-1258685869,信创、操作系统,1.81,3864603517,29261198424,0.982538,45957194
603636,南威软件,22.2,18663912,4.84,12.43,97718412,1.97,,97718412,370915767,-273197355,阿里系AI、电子证照,-2.74,913324091,4241264447,2.85843,54572322
688111,金山办公,4.3,10167162,-1.63,295.2,94929901,-1.76,,94929901,761676288,-666746387,AI智能体、AI办公,-0.14,1741865262,66351933964,0.675988,61204490
688343,云天励飞,5.4,15272793,1.76,41.85,86293823,5.15,,86293823,553333658,-467039835,训推一体机、芯片,3.33,1266785881,9601473387,1.8851,22036518
300290,荣科科技,0.5,3823566,0.47,24.4,86143732,3.48,,86143732,551699431,-465555699,算力、数字经济,3.0,1448266953,12472738286,1.04429,35963236
300348,长亮科技,6.0,10236380,2.62,15.87,83539037,4.13,,83539037,400208258,-316669221,资产管理、金融科技,1.47,1354741297,9604532732,2.06308,-9187468
000158,常山北明,1.2,42176485,0.04,26.8,82205288,2.06,,82205288,1774141187,-1691935899,鸿蒙概念、盘古大模型,2.02,5380341095,27252481145,0.865703,222005412
600589,大位科技,4.2,2390565,2.88,4.97,77010124,9.96,首板,77010124,189553740,-112543616,数据中心、算力,6.88,309734957,5234976417,1.39783,33537809
600410,华胜天成,0.1,34923023,9.99,10.13,74534067,9.99,6连板,74534067,126934149,-52400082,AI政务、芯片,0.0,129923540,11107491139,0.0716174,99720719
600446,金证股份,10.1,7400085,2.44,16.75,59982635,4.69,,59982635,329554430,-269571795,DeepSeek、互联网金融,2.2,919325207,11968177541,1.94391,58878109
300520,科大国创,0.5,8592500,1.01,25.05,55609227,1.21,,55609227,274725804,-219116577,算力、国产软件,0.2,956575366,5546256667,0.833474,5467316
000938,紫光股份,3.2,10228920,-0.04,24.94,55577763,0.12,,55577763,633102054,-577524291,RDMA、训推一体机,0.16,1787288858,41750748427,1.09766,39016790
300469,信息发展,7.8,24134343,3.62,30.46,41925845,0.3,,41925845,457398777,-415472932,车路云、AI政务,-3.21,1059323705,5931551372,1.18368,-19271317
603859,能科科技,0.8,3090906,0.0,28.8,38723228,-0.21,,38723228,169614955,-130891727,AI智能体、新型工业化,-0.21,515928458,5164658584,0.680809,-7970853
