股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002627,三峡旅游,8.2,1047676,-1.31,5.29,2573886,-0.94,,2573886,4241995,-1668109,旅游、并购重组,0.38,49827287,2582914625,1.39269,0
600650,锦江在线,0.6,42108,0.0,9.77,-633744,2.09,,-633744,0,-633744,无人驾驶、地方国企,2.09,25700841,1737103462,1.46934,0
600834,申通地铁,0.3,27159,0.0,8.41,-1571076,2.19,,-1571076,332000,-1903076,EDA、芯片,2.19,34996604,1666511845,0.716964,0
600561,江西长运,1.6,251550,0.47,6.54,-1905537,1.87,,-1905537,0,-1905537,国有企业、汽车类,1.4,35523497,1119693498,0.939998,0
002357,富临运业,0.9,588846,-0.26,7.62,-3664861,0.93,,-3664861,1814165,-5479026,网约车、成渝经济圈,1.2,60958081,1673387574,1.34874,0
600611,大众交通,1.6,55130,0.0,2.98,-5667685,0.0,,-5667685,7298808,-12966493,无人驾驶、智能交通,0.0,42973248,3248858210,1.22679,0
603032,德新科技,0.4,8150800,-1.48,19.97,-10586018,-1.63,,-10586018,36737958,-47323976,刀片电池、比亚迪产业链,-0.15,253893788,2021793367,1.23304,0
603069,海汽集团,10.2,6726268,-2.88,17.25,-28665756,-6.25,,-28665756,33652772,-62318528,免税、客运,-3.47,171281660,2598715191,1.69004,0
