股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
300037,新宙邦,4.4,7852000,1.55,40.82,20802055,3.63,,20802055,143546672,-122744617,电解液、液冷服务器,2.05,867087924,19626073782,1.45861,3867499
300068,南都电源,0.6,2295111,-1.56,12.11,14199227,-0.74,,14199227,84332635,-70133408,阿里系AI、储能,0.83,318209046,8973077060,1.04599,-3632194
600563,法拉电子,0.8,718060,-0.21,100.08,12672040,-2.65,,12672040,61931398,-49259358,元器件、汽车类,-2.44,304952582,10622483694,1.0513,0
002480,新筑股份,1.2,155136,0.52,3.87,4526682,1.31,,4526682,7172554,-2645872,机器人概念、氢能源,0.78,36288434,2090602101,0.94107,0
300340,科恒股份,1.5,881000,2.68,8.61,2246342,0.35,,2246342,9082870,-6836528,固态电池、氢能源,-2.27,68092677,1547367455,0.751782,0
603115,海星股份,0.6,56350,-0.09,11.22,-315840,-0.53,,-315840,0,-315840,电阻电容、有色金属,-0.44,15394022,934059318,0.651251,0
600510,黑牡丹  ,1.8,216750,-0.2,5.03,-513548,-1.57,,-513548,5459456,-5973004,破净股概念、数字能源,-1.37,52941813,2034713406,0.994739,0
002091,江苏国泰,0.7,223236,0.14,6.93,-1285998,-1.14,,-1285998,11260541,-12546539,电解液、外贸,-1.28,98139418,6619101215,1.05871,0
002012,凯恩股份,0.8,351920,0.24,4.1,-1480473,-0.97,,-1480473,3057702,-4538175,包装印刷、储能,-1.2,48555822,1492960779,0.55341,0
002598,山东章鼓,0.8,133660,0.24,8.17,-2427577,-0.12,,-2427577,1920258,-4347835,机器人概念、储能,-0.37,38563814,1479404287,0.503293,0
600773,西藏城投,1.3,780425,0.3,10.0,-2448456,-0.4,,-2448456,12875344,-15323800,盐湖提锂、石墨烯,-0.7,104632066,4278227449,0.946966,3000000
600458,时代新材,1.6,291200,0.79,8.88,-4059317,-0.11,,-4059317,5159852,-9219169,风电零部件、5G,-0.89,57310181,3950429505,0.841368,0
002806,华锋股份,3.2,1449133,-0.92,8.46,-4635252,-2.42,,-4635252,6300876,-10936128,汽车零部件、储能,-1.51,84266553,1092991189,0.9054,0
000636,风华高科,0.7,1568516,0.81,12.31,-4652740,0.33,,-4652740,23998564,-28651304,电阻电容、5G,-0.49,184353958,9976979333,0.74337,0
002389,航天彩虹,0.5,565836,0.19,15.34,-5726736,-0.58,,-5726736,19320601,-25047337,低空经济、无人机,-0.78,137733522,9712800327,0.58838,-3040922
600237,铜峰电子,1.4,255032,-0.35,5.65,-7325885,-0.88,,-7325885,11037748,-18363633,复合集流体、消费电子,-0.53,92344358,2737111430,0.732678,0
300057,万顺新材,0.5,106700,0.41,4.74,-8244887,-1.86,,-8244887,2335871,-10580758,DeepSeek、复合集流体,-2.27,48734434,3234495634,0.709879,0
002347,泰尔股份,0.9,1353420,-0.9,4.34,-17994786,-1.81,,-17994786,13677799,-31672585,机器人概念、固废处理,-0.91,119816899,1533209152,0.682021,0
300466,赛摩智能,0.6,2133362,-1.16,7.64,-19353994,-1.93,,-19353994,35489734,-54843728,机器人概念、元宇宙,-0.78,301633354,2081833404,0.593906,0
002484,江海股份,1.2,2218369,0.29,17.01,-30387681,-0.87,,-30387681,69726507,-100114188,服务器、汽车类,-1.16,240162590,7506520491,1.04458,-13500553
002028,思源电气,1.0,618460,-0.14,60.3,-41260962,4.18,,-41260962,87916692,-129177654,智能电网、汽车充电,4.33,541644681,28943301484,1.43978,0
600522,中天科技,0.6,5119373,-0.07,13.42,-53981066,0.3,,-53981066,271967333,-325948399,通信、5G,0.37,941911720,31549963712,0.955258,-35495595
000733,振华科技,0.7,13261180,-0.19,57.23,-122912404,-2.52,,-122912404,364129625,-487042029,6G、芯片,-2.34,1354978039,20110033706,0.858702,-27658528
