股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881101,种植业与林业,0.107,649700,4140478,649700,0,0.843,115594668634,-2.52,-61126343,932702114,90988905,-152115248,0.749,113246746922
881102,养殖业,0.055,-4541343,16368183,3537259,-8078602,0.965,359512299474,-0.337,-24846079,3269762463,675127726,-699973805,1.025,358440333867
881103,农产品加工,-0.091,-1216232,13326957,0,-1216232,1.274,261752828983,-1.601,-94760024,2280171729,257912093,-352672117,0.734,258469475977
881104,农业服务,-0.172,0,1754116,0,0,1.948,46605696062,-1.804,-27589766,371703166,34065791,-61655557,1.031,45847138781
881105,煤炭开采加工,0.117,4344707,18959857,8142599,-3797892,1.659,1509848668824,-0.609,41722264,3834673619,614570831,-572848567,0.855,1508795471389
881106,石油矿业开采,-0.098,-2034210,8038095,2220341,-4254551,1.387,1555561198547,-1.437,1314901,1256557789,350905612,-349590711,0.83,1557212139829
881108,化学原料,-0.142,551501,10816247,1006110,-454609,1.764,460943527950,-1.411,-91094128,2699182196,254307646,-345401774,1.057,456369493185
881109,化学制品,0.083,644059,60968049,9422063,-8778004,1.425,1481471001177,-1.512,-178483545,11380805588,1446364659,-1624848204,0.924,1466505655476
881110,化工合成材料,0.2,2927283,34076809,8909622,-5982339,1.737,429300522338,-1.735,-132319337,4416981435,436743519,-569062856,0.918,423326020390
881111,化工新材料,-0.037,60648,11149587,2880096,-2819448,3.678,366956614104,-2.225,-35698497,1261561341,137398321,-173096818,1.054,363964916453
881112,钢铁,0.133,638536,10393272,2220948,-1582412,1.322,650112746265,-1.252,-133734745,2635636063,499465284,-633200029,0.922,642015625936
881113,有色冶炼加工,-0.043,-8187486,108251369,25570055,-33757541,1.32,1885885999067,-1.694,-653526677,17108125211,3584147456,-4237674133,0.883,1865024309994
881114,金属新材料,0.098,105949,2989610,443358,-337409,0.847,106468591207,-1.497,-52945324,846576513,62639784,-115585108,0.851,104697486687
881115,建筑材料,-0.061,-1598904,46685194,12966045,-14564949,1.99,464718356765,-1.641,-259622396,5139572266,781719651,-1041342047,0.806,458058252592
881116,建筑装饰,0.01,-6978585,56089402,4956107,-11934692,1.247,1273723372115,-1.395,-240285719,8919830088,1702776811,-1943062530,0.87,1270657605792
