股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881101,种植业与林业,0.435,-7531337,73258440,24262563,-31793900,8.611,167624708760,1.071,-81580172,3465435867,728135356,-809715528,1.63,168917738688
881102,养殖业,-0.183,11510190,55518369,24528233,-13018043,1.784,391493933969,1.044,-19092157,5788755104,1096689720,-1115781877,0.696,393457162782
881103,农产品加工,0.065,-914292,24054285,2945367,-3859659,1.233,335256191184,0.909,-905818,3775617162,694995284,-695901102,0.862,337148944935
881104,农业服务,0.409,-3481782,15121548,7802658,-11284440,10.701,72667146473,0.186,-15716591,685593365,96742669,-112459260,0.995,72744690868
881105,煤炭开采加工,1.103,9755482,177336698,68553845,-58798363,5.988,1274131469032,3.47,52464385,17089627403,5125767659,-5073303274,1.829,1302215585443
881106,石油矿业开采,0.39,-402919,50852009,27124368,-27527287,4.771,1399306333966,2.857,125920291,4411315746,1570506129,-1444585838,1.648,1427072199767
881107,油气开采及服务,0.814,4938169,41727365,16871569,-11933400,3.848,322576360303,4.124,191970446,6456242809,2090526965,-1898556519,2.072,332391178520
881108,化学原料,0.336,-5482549,46451707,12476105,-17958654,1.904,510620746537,2.861,414166977,7766552978,2037235299,-1623068322,1.253,523404880268
881109,化学制品,0.254,11707375,85454417,28634687,-16927312,1.276,1822961784198,1.809,432197818,18312002532,3737315988,-3305118170,1.115,1852233801279
881110,化工合成材料,0.281,157739,37132219,8076500,-7918761,1.182,534106359685,1.478,-66432981,7366197668,1207280562,-1273713543,1.107,543208194232
881111,化工新材料,0.499,5654028,24038989,8962503,-3308475,4.525,513491515768,2.812,173157528,3253446205,782642759,-609485231,1.666,516986904703
881112,钢铁,0.335,2249560,51444513,18402820,-16153260,1.434,786600854762,3.778,275968808,10590245665,3184150876,-2908182068,1.763,811863229584
881113,有色冶炼加工,0.343,10046520,170886296,61505063,-51458543,2.034,1962859293411,3.229,2248977835,35975410006,11527159613,-9278181778,1.599,2011720561749
881114,金属新材料,0.172,-1799420,10539578,820393,-2619813,0.871,134464948259,1.895,52932309,2753552844,494700830,-441768521,1.069,136320435637
881115,建筑材料,0.534,15702453,86563432,32471975,-16769522,1.987,735403519871,3.08,162221072,11832338508,2450166992,-2287945920,1.119,748484106346
881116,建筑装饰,0.231,-75284,261569322,113897591,-113972875,3.14,1485451147273,1.49,169681563,19341835714,4758534399,-4588852836,0.919,1503505427851
881117,通用设备,0.324,9103392,189934220,67278701,-58175309,1.566,632798220055,1.191,244222353,19022956900,3405119470,-3160897117,1.008,638484884173
881118,专用设备,0.328,11281993,121020365,33606260,-22324267,1.381,1168958001253,1.38,692620589,22542817313,4830194324,-4137573735,1.126,1194684099375
881119,仪器仪表,0.178,5301970,28813856,10087449,-4785479,1.086,144213718666,0.239,-19698690,3771932553,600850380,-620549070,0.769,144631575473
881120,电力设备,0.233,16116546,260209550,88939468,-72822922,1.025,4812905958099,1.034,670688733,51760652175,11033506961,-10362818228,0.901,4830635891622
881121,半导体及元件,0.304,20527736,310386392,122837610,-102309874,1.386,2665912934097,1.27,1315371691,51040578892,12717227864,-11401856173,0.946,2690642500346
881122,光学光电子,0.339,6663761,88724279,23033666,-16369905,1.34,800565209344,1.25,224718972,12944158949,2866416303,-2641697331,0.942,808883329203
