股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881150,公交,0.577,1604499,10416584,3410187,-1805688,11.488,27229635730,0.458,88801695,654176126,217446591,-128644896,2.064,27240114046
881151,机场航运,-0.642,3611540,67364324,23692860,-20081320,1.489,502774385563,-1.426,-113240417,5115142722,1369802166,-1483042583,0.553,499473908042
881152,物流,-0.15,895892,12424161,1215992,-320100,0.503,587314059046,-0.775,39467917,4594936407,941614525,-902146608,0.719,582745101457
881153,房地产开发,-0.979,-16346934,212189014,65723546,-82070480,3.959,918119283374,-2.815,-796193802,13032956351,3129960099,-3926153901,0.696,899001059123
881154,园区开发,-0.256,0,3248020,0,0,0.571,129960677138,-1.283,-45894706,1364238947,254538224,-300432930,0.79,128695180314
881155,银行,-0.118,-1006956,79674742,29887793,-30894749,0.749,7717483179021,-0.105,-118311956,17529772140,7411477281,-7529789237,0.674,7745513431526
881156,保险及其他,-0.31,-2192516,64557207,21274750,-23467266,1.468,2014725931357,-1.892,-709524136,7957675593,1856527982,-2566052118,0.718,1986495175622
881157,证券,-0.37,15004079,145081664,65258930,-50254851,0.716,2338083496530,-1.515,-1722780175,18537713183,5154167983,-6876948158,0.445,2312908640588
881158,零售,-0.27,1147889,50930879,16059919,-14912030,2.408,577734691818,-1.296,-290489062,6735512435,1532092023,-1822581085,0.982,568228339443
881159,贸易,-0.216,378123,4421981,753853,-375730,1.166,71670022395,-1.078,4029705,1183460057,267951002,-263921297,0.728,70898558016
881160,景点及旅游,-0.271,-363119,10075801,0,-363119,0.574,115830777395,-1.629,-85709965,2758472955,507521051,-593231016,0.69,114105509490
881161,酒店及餐饮,-0.013,-304980,4555707,0,-304980,0.62,71790121215,-2.061,-97285609,1337452077,191252792,-288538401,0.628,70453241890
881162,通信服务,-0.224,5138768,69197678,22073473,-16934705,3.577,517741157352,-1.996,-461748033,8110157398,1784866085,-2246614118,0.7,514347791805
881163,计算机应用,-0.654,6887169,469410355,182034443,-175147274,4.044,1876548027549,-2.942,-3898269718,43422963475,7734140093,-11632409811,0.867,1834427973210
881164,传媒,-0.702,-25731559,291421400,70871584,-96603143,2.396,1185182973036,-3.021,-2640235476,31319874692,6272253903,-8912489379,0.849,1158327154857
881165,综合,-0.442,880556,15039209,3979133,-3098577,2.257,198630747476,-0.526,80524441,1929854596,506895083,-426370642,0.928,197433966855
881166,国防军工,-0.31,-45711490,562899990,200567841,-246279331,3.124,1798517111189,-1.599,-2041914441,39619468743,8713333971,-10755248412,0.924,1784213563471
881167,非金属材料,0.009,1508979,15215411,3943993,-2435014,2.025,79197908026,-0.781,8964955,1717935233,363796965,-354832010,0.972,78622181491
881168,工业金属,-0.592,-4743424,143017101,44400416,-49143840,1.442,1199127564958,-1.021,-213079062,17379482203,4821427935,-5034506997,0.723,1200403320455
881169,贵金属,-1.288,-974977,46227164,16144015,-17118992,1.554,315821308128,1.742,260915778,7259277457,2095133380,-1834217602,0.903,322516525292
881170,小金属,-0.602,-15628053,103809892,21274144,-36902197,1.511,813753140978,-1.555,-457707329,14392901309,3371205477,-3828912806,0.756,808479373779
881171,自动化设备,-0.363,3700523,79822786,20525909,-16825386,1.639,629081976205,-2.192,-653615758,11707649391,2081641793,-2735257551,0.782,619932559321
881172,电子化学品,-0.167,1728973,23892980,7167292,-5438319,1.23,191891802890,-1.289,55425360,4740976756,843699089,-788273729,1.019,189937722145
881173,小家电,0.887,13686214,85261667,48241077,-34554863,14.03,231999277859,-0.356,59986312,3047672360,679249965,-619263653,1.039,230419370835
881174,厨卫电器,-0.42,-280283,9015222,1915122,-2195405,1.408,61423375729,-2.356,-42868809,1190157763,171156797,-214025606,0.646,60207303385
881175,医疗服务,0.459,4071661,68984857,19991479,-15919818,1.476,569827428633,1.186,-188313613,13072012066,3007105090,-3195418703,0.938,564767276178
881176,房地产服务,-1.701,-2221309,27743381,5168448,-7389757,2.781,31967400648,-4.52,-83626577,1147662279,148642918,-232269495,0.67,31103179547
881177,互联网电商,-0.804,-2200895,17406681,3755208,-5956103,1.388,83954038409,-2.77,-131274920,1816451629,333916112,-465191032,0.722,82406554097
881178,教育,-0.937,2207665,9792631,2601149,-393484,2.007,70254447051,-2.142,-99627827,1410351537,219706816,-319334643,0.717,69191604163
881179,其他社会服务,-0.401,-4818707,21580477,3259893,-8078600,1.236,122415432903,-1.283,38141486,3737780243,654801569,-616660083,0.988,121314801725
881180,石油加工贸易,-0.144,-23636,49658790,14535575,-14559211,1.937,2595906000401,-1.543,-18671575,5832698328,1816207403,-1834878978,0.781,2606976370261
881181,环保,-0.196,-190011,85458050,15313673,-15503684,6.148,606794521464,-1.115,-93150616,8314809666,1284828165,-1377978781,0.857,601863594938
881182,美容护理,-0.215,923225,21422036,3482080,-2558855,2.148,255057539539,-0.903,-124785049,3116354514,453016854,-577801903,0.879,251611636504
