股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881101,种植业与林业,-0.508,-1264994,19211865,2771070,-4036064,1.761,133623441024,-0.517,34476186,2421041371,460406303,-425930117,0.65,133341339136
881102,养殖业,-0.578,-5740503,36182882,6450369,-12190872,1.059,392708790528,-0.96,-267100421,5764633507,1391680750,-1658781171,0.604,384637285760
881103,农产品加工,-0.399,-2527295,62889664,17951754,-20479049,1.931,303165709312,-1.138,-207062251,6408431291,1236293500,-1443355751,0.71,298199067136
881104,农业服务,-0.252,-362340,3663874,0,-362340,1.094,51321717120,-2.048,-65295376,784312821,105754669,-171050045,0.597,50274914048
881105,煤炭开采加工,-0.514,-2928676,69761288,31073273,-34001949,1.317,1673552472960,-2.924,-256478769,8826290613,1965653653,-2222132422,0.555,1636470592000
881106,石油矿业开采,-0.972,-20165241,49809313,10955693,-31120934,1.957,1524130063872,-2.666,-315806550,3552137886,932260989,-1248067539,0.567,1496749012224
881108,化学原料,-0.202,-1286945,23102539,1315865,-2602810,0.557,521718712832,-1.59,-66657873,5331327170,868983411,-935641284,0.522,510494531136
881109,化学制品,-0.316,169997,313970540,114702574,-114532577,1.926,1758414000320,-1.513,-163355446,34301310537,7529500465,-7692855911,0.713,1728100384768
881110,化工合成材料,-0.366,21967208,124398729,52533044,-30565836,1.658,504312482496,-1.356,199940875,15701764698,4373428434,-4173487559,0.79,498536724544
881111,化工新材料,-0.162,1990011,11234861,4494037,-2504026,0.379,420733254784,-2.077,-30918580,3698344245,860806678,-891725258,0.568,408813127168
881112,钢铁,-0.524,-750875,41409502,6733571,-7484446,0.654,752795386368,-2.417,-165814678,7543761516,1946368263,-2112182941,0.502,736624163584
881113,有色冶炼加工,-0.511,-106129942,493851741,191557299,-297687241,1.523,2141775587200,-2.732,-2973228241,42220497418,11783881150,-14757109391,0.64,2086961097216
881114,金属新材料,-0.468,316547,19365208,3483660,-3167113,0.934,129572562304,-2.426,-143296348,3290863974,528617973,-671914321,0.624,126932596544
881115,建筑材料,-0.359,-28299554,247266566,71798790,-100098344,3.071,566458154304,-0.784,-263903060,16413443126,4008079645,-4271982705,0.825,560491383232
881116,建筑装饰,-0.346,-12866020,529448643,236046241,-248912261,2.276,1521109139360,-0.491,-416696838,36161539927,11215302878,-11631999716,0.693,1504625375680
881117,通用设备,-0.488,-55404894,296656426,79701298,-135106192,2.138,637714315648,-1.403,-632506117,25857756231,5313937926,-5946444043,0.72,630533357792
881118,专用设备,-0.295,668098,219789570,56848909,-56180811,1.289,1249359320832,-1.329,-631425869,31789226891,6602091088,-7233516957,0.693,1222610120480
881119,仪器仪表,-0.338,2940142,43054929,15979918,-13039776,1.058,138792591360,-1.551,-99156416,5650821527,1164490089,-1263646505,0.581,136934039232
881120,电力设备,-0.517,-45232029,633465561,224891220,-270123249,1.121,4504859234880,-1.859,-2064882616,101641335723,25695154871,-27760037487,0.669,4408241377376
881122,光学光电子,-0.015,-12756516,265535303,111398429,-124154945,1.342,838684122304,-0.694,-1157639057,28905868475,7406882444,-8564521501,0.631,825071153792
881124,消费电子,-0.64,-81479039,490701571,171325209,-252804248,2.245,1664208214784,-1.429,-3033327016,47341659807,12698888056,-15732215072,0.82,1634832434432
881126,汽车零部件,-0.493,-9204375,203477124,42339313,-51543688,1.084,1509085249056,-2.022,-648807719,37965239096,8093716849,-8742524568,0.681,1476074084608
881127,非汽车交运,-0.346,-216820,21600538,4426341,-4643161,0.529,488066531328,-2.167,-269334400,6224018753,1150247748,-1419582148,0.48,477362102080
881128,汽车服务及其他,-0.823,-299456,6484610,799659,-1099115,0.922,48527917312,-2.379,-62152159,840059638,113379805,-175531964,0.539,47488773632
881129,通信设备,-0.544,37690023,329193849,165053219,-127363196,2.061,996255338048,-1.716,-1462797563,41649056014,12380364231,-13843161794,0.678,977412298816
881131,白色家电,-0.221,-6595891,89142111,26401010,-32996901,1.303,1245548632960,-1.36,-694868187,13665140338,3562361075,-4257229262,0.714,1209111714432
881132,黑色家电,-0.067,-8242917,68982059,18120015,-26362932,2.768,117073794368,-3.051,-264543375,6492090872,1666619184,-1931162559,1.092,113776545216
881133,饮料制造,-0.378,-9808846,131717976,55327412,-65136258,0.636,3902280082944,-2.024,-2085307530,25866542524,8057475530,-10142783060,0.553,3777271310208
881134,食品加工制造,-0.552,3921006,59634321,14989893,-11068887,0.968,936997628544,-1.885,-298782915,11353087323,2105493221,-2404276136,0.649,917223278656
881135,纺织制造,-0.322,317390,6642898,317390,0,0.509,186583344128,-1.539,-56821012,1488768873,150953397,-207774409,0.479,183127189696
881136,服装家纺,-0.338,-5271367,40624539,10935424,-16206791,1.285,233122538272,-0.634,44602566,4644889604,998743574,-954141008,0.627,231161419680
881137,造纸,-0.242,2127883,17838685,3831921,-1704038,1.02,146675408128,-2.403,-98739651,2382072160,470784751,-569524402,0.546,142817134784
881138,包装印刷,-0.18,-569957,30528058,6538305,-7108262,1.119,148326720384,-1.127,59268582,4554404514,919024284,-859755702,0.772,146372177280
881139,家居用品,-0.434,-6605603,84226859,20100259,-26705862,3.065,499161844032,-0.982,-48866454,7923160140,1242265959,-1291132413,0.673,493194508288
881140,化学制药,-0.173,-21827343,224030401,107108218,-128935561,3.068,1563067815168,-1.434,-471564718,23756797395,4737972940,-5209537658,0.618,1538371562432
881141,中药,-0.38,-2051407,54500360,10124367,-12175774,0.722,899883542336,-1.15,-381289583,12129891560,2307135476,-2688425059,0.552,884015171520
881142,生物制品,-0.113,25357769,134516721,76599519,-51241750,1.721,685446382528,-2.161,-250891914,11022368855,2866846262,-3117738176,0.584,671048255552
881143,医药商业,-0.481,2631950,26459906,7398137,-4766187,1.008,270846974080,-1.678,43772219,5783553459,1481524762,-1437752543,0.637,267033196160
881144,医疗器械,-0.298,-7271101,79522703,15237557,-22508658,0.722,1174397952800,-2.139,-172824006,16711460805,3222909662,-3395733668,0.59,1136550784480
881145,电力,-0.255,-12116603,167720653,52511792,-64628395,1.161,2813104563712,-1.857,-1407391861,26011623400,7095241728,-8502633589,0.654,2756016726528
881146,燃气,-0.188,-881182,13509704,2810140,-3691322,1.026,197717503648,-1.381,-28021350,1891813299,308337995,-336359345,0.513,194326017408
