股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881101,种植业与林业,0.038,7559996,37096492,20536426,-12976430,4.672,139381150621,2.405,152613331,2399665716,747606068,-594992737,1.432,142039993067
881102,养殖业,-0.27,-1407357,9049912,902873,-2310230,0.699,375932947512,1.06,-39050320,2820833524,587046756,-626097076,0.867,375988879294
881103,农产品加工,-0.23,1339745,10237836,2101470,-761725,0.847,289507873509,1.421,4518726,2772131239,540180290,-535661564,0.859,293175549703
881104,农业服务,-0.199,0,1510017,0,0,0.59,62036347943,1.286,4723422,530566246,84973032,-80249610,0.915,62797867166
881105,煤炭开采加工,-0.055,1494151,53290732,19941268,-18447117,1.672,1629549345466,-0.32,-659484330,13988492671,3845112367,-4504596697,1.088,1620943108914
881106,石油矿业开采,-0.209,-3461032,21784654,9279206,-12740238,1.453,1561217719656,2.209,-128923878,3641349573,1215718448,-1344642326,1.151,1573041642327
881107,油气开采及服务,0.444,-1571857,38363870,13539601,-15111458,1.754,354975606087,1.721,-192209691,5322118869,1566745863,-1758955554,1.164,355797966971
881108,化学原料,-0.214,-96361,11218795,741839,-838200,0.634,473587535043,1.904,-57577145,4107532112,738227068,-795804213,1.09,480458160878
881109,化学制品,-0.171,8133932,89493574,22477557,-14343625,1.406,1648254140763,2.145,470414034,21294504164,4890667355,-4420253321,1.044,1685503734658
881110,化工合成材料,-0.072,3764266,113664113,48809223,-45044957,2.732,496229980566,2.082,-72913283,7900765994,1384759241,-1457672524,0.866,503737037525
881111,化工新材料,-0.25,1222933,10016428,3291961,-2069028,1.031,402076010695,0.845,1087075,2147569389,444767033,-443679958,0.796,406724253090
881112,钢铁,-0.241,-4417161,30805242,5010503,-9427664,1.39,759194267593,2.496,321011640,7768606437,2421377100,-2100365460,1.421,773101357798
881113,有色冶炼加工,-0.529,13301212,274525628,115867444,-102566232,2.64,1958963571045,3.976,1933198708,45597786942,15101605145,-13168406437,1.484,2039625728011
881114,金属新材料,-0.749,-996624,11125511,0,-996624,0.905,123505975304,1.929,-17647908,2583704988,382210004,-399857912,1.201,126528659005
881115,建筑材料,-0.199,3733638,40443272,10308874,-6575236,1.146,581234372659,1.073,-63511795,6945161508,1151616318,-1215128113,0.83,585404584969
881116,建筑装饰,-0.288,-8844852,171311254,57019609,-65864461,1.717,1367057417617,0.948,-551138542,18084672816,4938322207,-5489460749,0.836,1374270838386
881117,通用设备,-0.349,1512694,143302578,33105851,-31593157,1.84,616017088962,2.028,603071940,21863337576,4722834316,-4119762376,0.944,628750160042
881118,专用设备,-0.292,-25019552,254192547,66885228,-91904780,2.059,1144413067615,1.579,-187798476,23832240701,4464063034,-4651861510,0.828,1156595863762
881119,仪器仪表,-0.143,-333410,41278728,10423668,-10757078,2.228,133709722464,2.484,144989556,5196991659,1204672064,-1059682508,1.176,136907656384
881120,电力设备,-0.317,17682034,334591947,101126707,-83444673,1.086,4222713681351,0.654,-1930637056,69171796838,15630724949,-17561362005,0.802,4223031467532
881121,半导体及元件,-0.197,-9616956,215114271,82479221,-92096177,0.812,2565572077682,1.313,-476843531,45882760157,11469095722,-11945939253,0.768,2591152597365
881122,光学光电子,-0.255,-17752929,131983945,30300626,-48053555,2.413,808074271215,1.667,113457118,19865338376,5442821724,-5329364606,0.975,821883651462
881123,其他电子,-0.182,7529661,36678895,12565028,-5035367,1.585,145302518104,1.444,-148179572,5699026425,1129315745,-1277495317,0.823,147398065357
881124,消费电子,-0.454,4495925,203981243,100395965,-95900040,1.38,1372545268630,2.213,376691865,30094567555,9720073082,-9343381217,0.878,1403113732317
881125,汽车整车,-0.682,4895761,204992507,109762267,-104866506,2.366,1189021727930,2.296,196615900,27170561491,11008037331,-10811421431,1.134,1206135438915
881126,汽车零部件,-0.344,1558410,357954854,143546113,-141987703,2.989,1417758907040,2.16,919665470,39690136014,9799110765,-8879445295,1.232,1449254532288
881127,非汽车交运,-0.743,1377313,45081349,10876558,-9499245,1.858,377168673716,0.317,-32326052,5243704140,958244556,-990570608,0.679,380065872990
881128,汽车服务,-0.293,-2213499,12270793,2322837,-4536336,3.469,64504490682,3.079,-3748314,1566119204,320778047,-324526361,1.758,66521258541
881129,通信设备,-0.208,-8378574,298916463,143465146,-151843720,1.42,855949672864,2.423,746743159,47829400600,17392124222,-16645381063,0.869,884985868738
881130,计算机设备,-0.139,-11402991,153129675,50696425,-62099416,1.298,858516128813,2.026,-383072002,23615093735,6629010026,-7012082028,0.798,864804007823
