股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881101,种植业与林业,-0.21,-324044,6931319,826506,-1150550,1.868,118010179968,1.994,89628598,1476683968,286436508,-196807910,1.356,119091587840
881102,养殖业,-0.492,-3235678,20504173,3754385,-6990063,2.404,385938152576,-0.348,-64527935,3366650470,722796793,-787324728,0.947,382650325504
881103,农产品加工,-0.186,-1131799,31072660,7887308,-9019107,3.19,269953857344,0.069,-56517504,2606136283,370600471,-427117975,0.9,269425463168
881104,农业服务,-0.31,-473823,2171513,0,-473823,1.2,49057013632,-1.31,-14573812,367067196,33508126,-48081938,0.733,48559592832
881105,煤炭开采加工,0.023,-178627,12836511,912287,-1090914,0.933,1560713507072,0.265,-3739112,4322996496,735498423,-739237535,1.086,1560306145152
881106,石油矿业开采,-0.11,-1632235,11722378,3211175,-4843410,2.822,1573084235392,0.536,-12707152,1513230426,398248306,-410955458,0.982,1588294891520
881108,化学原料,-0.04,-354353,8236906,0,-354353,0.696,467687603200,-0.154,-52986217,2340599737,292498992,-345485209,0.867,468368516352
881109,化学制品,-0.236,-9782615,97462459,22904348,-32686963,3.162,1497621307744,-0.049,156232885,12676836997,2219381769,-2063148884,0.938,1501046302848
881110,化工合成材料,-0.159,-811889,49908507,9560625,-10372514,3.543,434639993536,-0.474,15827817,5163997152,870996014,-855168197,1.268,436427496224
881111,化工新材料,-0.016,353098,4064372,353098,0,0.736,368945728512,-0.102,-928287,1529849861,233795886,-234724173,1.006,369920062976
881112,钢铁,-0.106,2939334,25951437,10993337,-8054003,2.006,659115069056,0.058,19019730,2763704680,618719742,-599700012,0.92,661156345344
881113,有色冶炼加工,0.135,9953755,180671574,76676217,-66722462,2.86,1869470022912,1.027,124948782,21094904979,5750720635,-5625771853,1.335,1892117133184
881114,金属新材料,-0.274,0,7047322,0,0,1.621,108019059776,-0.34,-3100452,1089021180,116653692,-119754144,1.063,108330736448
881115,建筑材料,-0.239,11560939,67366091,28930303,-17369364,3.373,479118506688,-0.465,-63518140,5619236153,1059292467,-1122810607,1.049,478519268096
881116,建筑装饰,-0.324,-2079616,66298497,9526441,-11606057,1.482,1287963024384,-0.185,-206631962,9710114706,2084901547,-2291533509,0.871,1296767305344
881117,通用设备,-0.439,9320123,128893000,39352313,-30032190,3.161,536179789376,-0.738,-30993298,10671591283,1553023479,-1584016777,0.998,536321056160
881118,专用设备,-0.247,3791647,119663017,26758878,-22967231,2.422,1051685486688,-0.538,-281611570,13083054754,1688790498,-1970402068,1.033,1062110895040
881119,仪器仪表,-0.116,790440,56079715,15333180,-14542740,5.241,112014258112,-0.543,-150654706,3646109352,464644531,-615299237,1.267,111545924736
881120,电力设备,-0.193,-14773593,194857591,36008716,-50782309,1.784,3611483664640,-1.03,-949578246,34214396403,5479189461,-6428767707,0.961,3599628141984
881122,光学光电子,-0.873,9458125,222812935,62696347,-53238222,3.953,724839481760,-2.648,-806110414,12839977245,2004200711,-2810311125,0.986,718661446304
881124,消费电子,-0.836,-20293770,421209926,159246783,-179540553,7.841,1379115348512,-3.168,-1111078065,21725833281,3658069402,-4769147467,1.008,1365118759776
881126,汽车零部件,-0.193,4558878,128061496,30183030,-25624152,2.263,1249664143168,-0.567,-208475814,15884522945,2325730683,-2534206497,1.07,1246570057984
881127,非汽车交运,0.291,10381459,46746279,24200136,-13818677,5.544,434209547840,2.259,-78674514,5597416214,1179482625,-1258157139,2.009,444669666688
881128,汽车服务及其他,-0.319,-1121438,4089634,0,-1121438,2.053,42905390848,0.229,-12277522,505044950,78769145,-91046667,0.779,43249048576
881129,通信设备,-0.365,-449837,174214988,56939209,-57389046,3.541,796361392064,-0.413,-130001583,16593648940,3845323175,-3975324758,1.031,797640208544
881131,白色家电,-0.203,-941199,35430723,6445734,-7386933,2.595,980555911168,0.15,19141424,5609472105,1120907662,-1101766238,1.116,983407996928
881132,黑色家电,0.906,-9021475,98618745,29239868,-38261343,10.344,98354182208,1.981,340212348,4267056660,1370988170,-1030775822,2.875,101166307328
881133,饮料制造,-0.161,-645729,61318662,23689981,-24335710,1.425,3447973123200,-0.92,-262282345,10913133407,2532790110,-2795072455,1.065,3431876640256
881134,食品加工制造,-0.242,54735237,152423664,120626552,-65891315,7.524,785746035072,-0.337,-192921531,4980160640,863053250,-1055974781,1.087,784046142144
881135,纺织制造,-0.111,428487,5172004,428487,0,1.563,161853239328,0.18,-29615017,718682664,49502567,-79117584,1.03,163978936096
881136,服装家纺,-0.267,5126780,25501524,7620690,-2493910,2.921,212907456672,-0.203,33883126,2419281429,372774256,-338891130,1.184,213571316608
881137,造纸,0.099,1139092,6281577,1808364,-669272,1.275,124118150816,0.438,-16888614,933488832,129392779,-146281393,0.937,124960383424
881138,包装印刷,-0.473,-2932864,19535845,1807621,-4740485,4.225,127002634496,-0.583,-54743121,1403591526,120561212,-175304333,0.936,127333520576
881139,家居用品,-0.218,-1892316,32941306,2612464,-4504780,2.353,430089953952,-0.049,105950493,3733572775,497913380,-391962887,1.077,431229142240
881140,化学制药,-0.331,-12286926,246456506,85637466,-97924392,3.75,1391161448352,-1.546,-632407226,18674320867,3357648699,-3990055925,0.931,1375900042720
881141,中药,-0.425,6340466,84644193,24475811,-18135345,2.275,844997362752,-1.512,-339574002,8214764345,1380400279,-1719974281,0.741,841262192256
881142,生物制品,-0.014,-61426,38298112,8390371,-8451797,1.28,617873085184,-1.517,-184854885,4915841416,722527755,-907382640,0.876,609845713728
881143,医药商业,0.071,4095448,32242620,11561870,-7466422,3.185,245488315136,-0.792,-58871373,2758696005,391219321,-450090694,1.059,243960500928
881144,医疗器械,-0.099,-16346545,118081722,20936958,-37283503,4.729,1049689339040,-1.418,-305003736,9033389293,1007905656,-1312909392,1.095,1044049732160
881145,电力,-0.265,-3349320,72538176,16387359,-19736679,2.904,2836771955200,-0.171,-232323367,11404526330,2843654465,-3075977832,1.008,2849086204864
881146,燃气,-0.206,-417418,8883168,704941,-1122359,2.102,187503086208,-0.675,-24456631,1049520932,110111056,-134567687,0.964,186845547776
881147,环保工程,-0.293,13462947,50287322,24667559,-11204612,5.112,330030452768,-0.263,-8630634,3158842389,474785315,-483415949,0.576,330806593888
