股票代码,板块名称,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500
881101,种植业与林业,-0.108,578099,6041115,1116954,-538855,1.031,143470650644,-1.67,160011358,1567834062,483265255,-323253897,1.302,141131610515
881102,养殖业,-0.185,302700,6490869,302700,0,0.481,395471150620,-2.232,-159233290,2640648937,403374616,-562607906,0.764,386946713319
881103,农产品加工,-0.109,-480000,9371640,0,-480000,0.794,303870032056,-2.209,-14238538,2917240645,523410551,-537649089,1.012,296749918916
881104,农业服务,0.318,565380,24926409,10905552,-10340172,3.707,71209091947,-3.088,-131331918,990106299,133748926,-265080844,1.128,68784227367
881105,煤炭开采加工,-0.116,-145188,17440578,567498,-712686,0.77,1509522873012,-1.889,-397137334,7205267448,1512848764,-1909986098,0.872,1497208767551
881106,石油矿业开采,-0.132,-1757577,7955405,1749798,-3507375,1.092,1318245910986,-2.316,-59423171,1546691953,366362745,-425785916,0.869,1299081851085
881107,油气开采及服务,-0.252,-352982,9258856,667512,-1020494,0.932,326202730310,-2.331,-183285864,2306693740,527812286,-711098150,0.863,320641862145
881108,化学原料,-0.385,11346805,52503299,21566211,-10219406,2.014,485790979730,-2.697,-311508217,4376691246,607945286,-919453503,0.868,475535693082
881109,化学制品,0.04,19809548,143564937,53604180,-33794632,2.417,1630167056597,-2.232,-506728035,16254820011,2373337045,-2880065080,1.008,1590036853492
881110,化工合成材料,-0.049,-129431,32711267,7527206,-7656637,1.107,527579647628,-2.693,-279420988,5839685883,632093963,-911514951,0.782,515160071302
881111,化工新材料,-0.409,2473752,32797669,12786758,-10313006,3.372,385464815629,-3.562,-116695185,2655512512,379155907,-495851092,1.556,372651645179
881112,钢铁,-0.089,-2213487,18091425,1198599,-3412086,1.106,734526822004,-1.95,-189225077,3828899137,727268290,-916493367,1.038,721513249151
881113,有色冶炼加工,-0.192,3377124,67207367,15127039,-11749915,0.886,1793305785080,-3.062,-1484690226,17100745306,3459626650,-4944316876,0.981,1740907926871
881114,金属新材料,-0.094,543414,8090269,1768944,-1225530,1.322,127302882695,-3.05,-72212137,1533509960,175155071,-247367208,0.842,123454761683
881115,建筑材料,-0.466,9312936,101603791,30335670,-21022734,2.724,596775097964,-2.562,-479020183,9679161103,1555620211,-2034640394,1.105,583104013219
881116,建筑装饰,-0.08,9399504,190953773,79913368,-70513864,2.629,1323025764757,-2.63,-1125969075,15773645236,2919922827,-4045891902,0.928,1297846212591
881117,通用设备,-0.123,-472542,53246170,6119074,-6591616,0.967,628199409154,-3.126,-631299016,11035830728,1236042819,-1867341835,0.783,609607157366
881118,专用设备,-0.062,-13932162,152270633,41151469,-55083631,2.59,1113949102071,-2.592,-430339975,16269114692,2442212297,-2872552272,1.001,1093878989958
881119,仪器仪表,-0.057,-1559924,32528573,8145900,-9705824,2.18,133501345949,-3.035,-106057878,3369934775,476950847,-583008725,0.967,129531125536
881120,电力设备,-0.279,12898076,530249955,182158734,-169260658,1.565,4127899649598,-3.026,-3649163693,64699661706,11721366580,-15370530273,0.825,4015976626251
881121,半导体及元件,-0.035,14100165,99133549,27080587,-12980422,0.944,2454118456366,-3.15,-1118350282,26159488721,4095449931,-5213800213,0.933,2389338474333
881122,光学光电子,-0.103,8270508,103540279,30462199,-22191691,1.47,808978451201,-2.803,-758917558,12203006129,2072479782,-2831397340,0.888,791156605797
