股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
000037,深南电A,1.1,1035776,0.0,9.34,4514858,4.24,,4514858,47902712,-43387854,虚拟电厂、环保,4.24,303949807,1869637813,1.09808,0
002243,力合科创,0.4,151728,-0.43,6.95,2922268,-0.57,,2922268,9929185,-7006917,深圳、东数西算,-0.14,54295212,4106381141,0.561904,0
000025,特力Ａ,0.7,204953,-0.77,15.46,682047,-0.45,,682047,14975068,-14293021,深圳、国有企业,0.32,84160532,2489045279,0.989039,0
000019,深粮控股,1.2,90584,0.75,6.68,-115999,-0.45,,-115999,2035223,-2151222,农业、并购重组,-1.18,29631661,1807945645,0.622117,0
000011,深物业A,0.2,480510,0.6,8.36,-980738,-0.24,,-980738,6514175,-7494913,物业服务、深圳,-0.83,45681038,1564481125,0.79472,4032456
000058,深赛格,1.5,726241,0.14,6.89,-2074702,-0.14,,-2074702,8082112,-10156814,深圳、华为概念,-0.29,80015380,1990586464,0.75702,0
000045,深纺织Ａ,1.7,279720,-0.6,9.71,-2777671,-3.38,,-2777671,6963294,-9740965,深圳、消费电子,-2.8,65001454,2165433572,0.780074,0
000027,深圳能源,0.5,667951,0.0,7.31,-2799130,1.67,,-2799130,67180201,-69979331,光伏、垃圾发电,1.67,247281347,10805064852,1.27274,396734
000006,深振业Ａ,0.4,300092,0.25,3.93,-5897886,-1.01,,-5897886,6747147,-12645033,房地产、地产链,-1.26,59391435,3344396810,0.8141,0
000014,沙河股份,0.5,712887,-0.65,12.19,-6109633,-1.3,,-6109633,17067084,-23176717,房地产、地产链,-0.65,153043234,1946747928,0.609311,-3221225
000032,深桑达Ａ,2.3,3339296,0.0,18.67,-62320829,-3.16,,-62320829,63806428,-126127257,国资云、信创,-3.16,415637872,8249114368,0.861462,-5933170
