股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
300063,天龙集团,1.3,2547776,-0.22,5.39,256914420,20.04,首板,256914420,445629794,-188715374,字节概念、华为概念,20.31,864136833,3115190937,2.09737,0
002602,ST华通,2.2,8993144,0.35,5.9,121688319,4.24,,121688319,654365208,-532676889,ST板块、游戏,3.87,1759168253,34962870010,1.5909,17717192
000676,智度股份,70.5,35501015,10.06,7.33,98084003,10.06,首板,98084003,127161372,-29077369,文化传媒、数字货币,0.0,129442507,7203812493,0.417836,90071023
300280,紫天科技,1.6,23076055,1.67,45.7,94814763,9.33,,94814763,478218884,-383404121,字节概念、网红经济,7.53,1222723550,5774076237,1.49253,40679029
300291,百纳千成,3.5,698710,-0.74,6.47,79049850,20.04,首板,79049850,195626611,-116576761,AIGC、短剧,20.93,378484616,3652169641,6.20386,0
601858,中国科传,0.9,1945836,0.0,26.3,66454131,4.61,,66454131,131990607,-65536476,文化传媒、中字头,4.61,637205941,5446863587,1.42609,0
300058,蓝色光标,0.3,2034120,-1.0,7.18,65469682,3.01,,65469682,240159275,-174689593,智谱AI、文心千帆,4.06,770346553,16498008627,1.51134,0
300182,捷成股份,0.9,673320,-0.64,4.87,54612603,4.06,,54612603,148416593,-93803990,AIGC、华为概念,4.73,423816608,10113265559,1.85623,0
002400,省广集团,0.5,793488,-0.41,5.1,52799198,4.08,,52799198,165309796,-112510598,字节概念、华为概念,4.51,529304306,6857029047,2.79961,13924191
600986,浙文互联,1.8,510032,-1.18,5.46,48907163,7.48,,48907163,174650903,-125743740,腾讯系AI 、网红经济,8.76,435130280,6311729850,3.76711,-11504386
603721,中广天择,0.0,88385,-0.19,17.71,43692041,10.0,首板,43692041,93758728,-50066687,阶跃星辰、股权转让,10.21,176132232,1142472631,3.79018,37449188
002517,恺英网络,1.8,5663282,2.23,10.7,33751933,3.68,,33751933,189642354,-155890421,游戏、AIGC,1.42,758057094,16761418176,1.78231,191559
300426,唐德影视,0.4,1082544,0.77,10.86,30683049,20.0,首板,30683049,74317437,-43634388,文化传媒、股权转让,19.08,278849930,2690045579,1.93704,21805879
002354,天娱数科,2.9,3758967,2.04,5.1,29544931,4.29,,29544931,100887679,-71342748,DeepSeek、虚拟人,2.2,419220241,8237508298,1.33402,0
300251,光线传媒,7.2,5345723,1.46,7.76,29343249,3.05,,29343249,91562867,-62219618,影视院线、AIGC,1.57,323158330,11749571711,2.02285,0
600633,浙数文化,0.9,580325,-0.43,11.69,25966983,-0.26,,25966983,83515216,-57548233,腾讯系AI 、体育产业,0.17,438257734,7748824956,1.22,3012690
000917,电广传媒,2.2,655635,-0.18,5.47,24902110,0.18,,24902110,40837050,-15934940,智谱AI、文化传媒,0.37,135395327,6437666259,1.80328,0
002343,慈文传媒,2.4,64470,-0.16,6.5,22931601,5.69,,22931601,28969135,-6037534,AI眼镜、文化传媒,5.86,96221226,2125127832,1.78303,3009039
601801,皖新传媒,0.9,281697,-0.43,6.6,22686181,-5.98,,22686181,112813675,-90127494,智谱AI、文化传媒,-5.58,364233138,3042916324,1.82376,-3137916
301313,凡拓数创,0.6,200925,-0.81,28.16,21056557,4.26,,21056557,54749847,-33693290,数字经济、低空经济,5.11,146451264,1820710445,1.75079,0
