股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002565,顺灏股份,0.1,78299,0.0,2.72,79487019,10.12,首板,79487019,148708287,-69221268,电子烟、三季报增长,10.12,295006821,2047498685,6.67335,0
301198,喜悦智行,0.2,52910,-0.37,8.6,7215870,5.26,,7215870,15681176,-8465306,特斯拉概念、包装印刷,5.65,128284835,669436040,3.1754,0
300849,锦盛新材,0.5,38657,-0.07,13.44,6020087,0.75,,6020087,7082074,-1061987,化工、三季报增长,0.83,23636791,1084620433,0.767276,0
600963,岳阳林纸,0.3,146367,0.29,3.52,4579383,0.57,,4579383,19663294,-15083911,造纸、碳中和,0.28,88859514,3522802078,0.683629,3550000
002599,盛通股份,0.9,63248,0.21,4.84,3602969,2.76,,3602969,7002533,-3399564,宇树机器人、教育,2.54,52430675,1731078569,1.03732,0
300501,海顺新材,2.7,8464,0.09,11.07,3320579,4.73,,3320579,4173565,-852986,固态电池、病毒防治,4.63,51455786,1135946763,6.37338,0
002067,景兴纸业,0.2,180215,-0.37,2.74,2802660,0.74,,2802660,6204364,-3401704,宇树机器人、造纸,1.11,27696761,2773391691,1.34624,0
002229,鸿博股份,1.6,792091,-0.56,9.18,2575818,2.91,,2575818,31865112,-29289294,算力租赁、ChatGPT,3.49,262718017,4527248283,1.53459,0
603733,仙鹤股份,5.8,576913,-1.77,16.01,2572361,-2.14,,2572361,9055352,-6482991,造纸、化工,-0.37,106560842,2657562553,2.89946,0
603058,永吉股份,0.5,59600,0.0,7.63,2502224,2.42,,2502224,10801536,-8299312,大麻、白酒,2.42,54242217,1452598427,2.28887,0
000815,美利云,1.2,150165,-0.14,7.19,2252470,1.84,,2252470,13726782,-11474312,数据中心、云计算,1.99,80100540,3386837666,1.32908,0
002752,昇兴股份,1.0,75440,-0.65,4.64,2201582,0.22,,2201582,2201582,0,字节概念、有色金属,0.87,27293518,1642172217,1.39092,0
002831,裕同科技,1.9,29458,-0.57,22.83,1743715,0.18,,1743715,2538939,-795224,可降解概念、化工,0.75,29526185,7653740872,0.714486,0
605007,五洲特纸,1.2,41790,-0.5,12.01,1584041,0.08,,1584041,2232200,-648159,造纸、化工,0.59,22453760,1175203417,1.22113,0
600567,山鹰国际,0.4,90432,0.0,1.45,1035362,0.69,,1035362,10625432,-9590070,造纸、三季报增长,0.69,31388460,4556917999,1.12636,0
603110,东方材料,47.0,84412,0.34,9.14,857596,2.12,,857596,1177845,-320249,DeepSeek、石墨化,1.78,48968151,1126037517,1.15836,0
600356,恒丰纸业,0.5,20163,0.16,6.15,818430,0.82,,818430,818430,0,并购重组、化工,0.65,13809694,1287758199,1.29179,0
300883,龙利得,0.5,38092,0.0,4.36,729992,1.87,,729992,2791813,-2061821,造纸、包装印刷,1.87,24055413,935130197,1.41508,0
002846,英联股份,7.3,131005,-0.75,6.74,726975,0.6,,726975,726975,0,复合集流体、新型工业化,1.35,22835613,927893690,1.01203,0
301062,上海艾录,0.2,29848,0.38,10.6,655402,-0.19,,655402,2075628,-1420226,包装印刷、食品安全,-0.56,19569546,2546841701,0.87012,0
002209,达意隆,0.2,59829,0.13,7.81,519301,0.64,,519301,2729010,-2209709,机器人概念、新型工业化,0.51,36045954,937113531,0.546155,0
301296,新巨丰,15.6,55770,-0.42,7.22,498722,0.56,,498722,498722,0,并购重组、食品安全,0.98,11721678,1002469068,1.20864,0
603429,集友股份,0.5,2646,0.27,3.79,479518,0.53,,479518,1284410,-804892,电子烟、包装印刷,0.26,16307339,1172195669,1.05469,0
603165,荣晟环保,0.1,2997,-0.2,10.08,378862,0.7,,378862,378862,0,宇树机器人、机器人概念,0.9,9378158,1756662191,0.870725,0
002521,齐峰新材,0.0,11364,-0.11,9.52,187299,0.42,,187299,1079878,-892579,造纸、包装印刷,0.53,22771084,3576104116,0.930533,0
003003,天元股份,0.5,17986,-0.38,7.88,154390,0.38,,154390,455829,-301439,冷链物流、平台经济,0.77,11247658,778956461,1.00821,0
600103,青山纸业,0.6,53200,-0.57,1.77,11527,0.57,,11527,2832825,-2821298,光模块、造纸,1.14,23047058,2699983048,1.01186,0
603022,新通联  ,1.7,46200,-0.3,6.65,0,0.45,,0,0,0,汽车零部件、并购重组,0.76,9517582,655424000,0.826101,0
002951,*ST金时,0.0,1266,0.0,4.23,0,0.24,,0,0,0,ST板块、四川省,0.24,1733859,301766828,0.539118,0
605500,森林包装,10.9,81089,-0.8,6.22,0,-0.32,,0,0,0,三季报增长、包装印刷,0.48,7351505,848419395,1.17661,0
