股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801001,芯片,-8187,0.144,152480057,1432477941,426544935,-274064878,1.777,7402568811136,90060800,2022,0.278,-1598468372,157601835505,23190165385,-24788633757,0.869,7407265263936,319606000
801004,锂电池,-905,0.14,-24550579,924893035,83752141,-108302720,2.682,6082658009152,13309800,-136,-0.128,-1193787054,77118936325,4365411975,-5559199029,0.998,6022842740608,-233614000
801008,高送转,-11,-0.116,0,57214546,0,0,1.272,970631515177,0,-24,-0.247,-2945461,10666425378,15199482,-18144943,0.828,964862715369,-6577690
801009,充电桩,-754,0.528,-8560894,283359168,47575339,-56136233,2.674,1100655730048,7903150,1065,0.727,-324599775,25997619873,2131180912,-2455780687,1.077,1095388156032,-12772600
801012,钢铁,24,0.242,-1418002,31878539,2499224,-3917226,1.581,743323980679,0,18,0.186,-245083813,4507311877,584037656,-829121469,0.909,741469387338,-48679900
801014,行业龙头,1,0.017,-11109494,1237843258,16885195,-27994689,1.33,22884397750560,-3697080,-39,-0.397,-523986750,150498424259,1171166811,-1695153561,0.856,22822986350631,-215965000
801016,稀土永磁,10,0.108,-1191413,75146270,1093887,-2285300,1.187,838484618225,0,17,0.178,-266077851,10817390049,678213433,-944291284,0.857,836159127906,-29793700
801019,物流,4,0.047,-1405489,124647148,3303010,-4708499,1.985,1333658880739,0,538,0.388,-230055662,13692666606,786242253,-1016297915,0.86,1331186630375,-68283500
801022,换电站,59,0.59,2500802,136018327,36290668,-33789866,4.498,483828028912,10636000,23,0.506,55360799,8404324335,1114941112,-1059580313,1.368,481212061576,35680700
801027,银行,0,-0.001,-7933057,71292727,24835961,-32769018,1.227,6548260599776,0,54,0.545,324647205,12212867655,5341833522,-5017186317,0.936,6640360755382,363091000
801031,文化传媒,-2810,-0.109,29471764,601582842,121848029,-92376265,2.753,1281834047232,21144900,4117,3.443,895212910,68664414244,9678696530,-8783483620,1.084,1325601432420,650144000
801032,深圳国资改革,-29,-0.291,-401388,35063907,0,-401388,5.553,105483970271,0,36,0.367,-6587223,2100335526,11724733,-18311956,1.109,106036480088,0
801033,国企改革,-6,-0.06,7865221,852334035,28369358,-20504137,2.08,6996590866944,0,33,0.595,-247163632,95648360143,2133801078,-2380964710,0.985,7036320607552,-19503500
801035,酿酒,-3,-0.038,-10372964,290389444,37057714,-47430678,3.543,4467335971743,990279,-681,-0.648,-912529592,21088033779,4357840239,-5270369831,0.958,4427565401983,-116176000
801038,维生素,12,0.126,-1318064,6280892,0,-1318064,1.025,171230322041,0,21,0.215,14380516,1149971985,78262322,-63881806,0.865,171806168852,8234840
801039,机场航空,-2,-0.025,-386798,22917130,4413179,-4799977,1.216,580790279190,0,-8,-0.085,23389562,2886570374,568155555,-544765993,0.69,582734082746,-25504000
801040,造纸,1,0.018,-517320,5940478,0,-517320,0.864,164389080116,0,-18,-0.183,6336093,1222458711,129774321,-123438228,0.636,163374598917,394551
801044,土地流转,0,-0.008,-166784,65386954,3382292,-3549076,5.427,332776337456,0,13,0.233,-22064695,3465618823,125756847,-147821542,0.992,332547078245,0
801045,医药,-4889,0.107,4954143,467961423,46259839,-41305696,2.032,6248620147744,-1174110,431,0.344,-856938974,69786506702,6633012547,-7489951521,1.015,6250109826883,-36917700
801046,医疗器械,-995,0.042,1306257,220252769,8330259,-7024002,3.306,1808371223072,0,-94,0.188,-156456266,20565020229,1231131548,-1387587814,0.935,1803879834593,-7906000
801047,钠电池,19,0.197,207653,222515839,4460178,-4252525,6.361,1622984470916,0,-50,-0.505,9133126,16514408642,206589786,-197456660,1.02,1592482357760,-6638420
801048,黄金,-74,-0.741,-6826891,98113809,15196310,-22023201,3.065,811852329378,0,-72,-0.726,-263589053,7290385431,662553623,-926142676,0.907,804703647498,-61238500
801049,租售同权,-93,-0.933,0,56316374,0,0,5.014,447185849207,0,-35,-0.351,-411072,3168645082,8790488,-9201560,1.042,447728932427,0
801050,彩票概念,7,0.075,0,216963743,0,0,4.459,129073858350,0,125,2.174,-9181300,7907563193,82273697,-91454997,1.089,133202307311,1299090
801052,环保,-1382,0.176,-6311509,267491187,50224393,-56535902,2.911,1682933802688,13309800,37,0.502,58363696,23162712860,1810520884,-1752157188,0.92,1684318977984,108551000
801053,零售,-10,-0.104,4445764,388532678,22608171,-18162407,1.991,2726601309782,3364000,72,0.809,294030500,48844580094,2985819338,-2691788838,1.039,2738661970913,296187000
801057,石油石化,21,0.217,-810953,68961270,10697569,-11508522,1.603,2743332196166,0,-101,0.185,94630960,9216111335,1437026310,-1342395350,0.832,2739627744071,-36912600
801062,军工,-3695,0.071,-3496457,728841634,85680662,-89177119,1.827,4446266481856,9856370,-297,0.12,-1408400146,82412620763,7153000670,-8561400816,0.876,4424857006592,-225348000
801067,面板,-2199,0.062,18219217,571347468,122286057,-104066840,2.069,2055710841408,18697700,28,0.468,-397536663,41916372034,4440403713,-4837940376,0.917,2057217240117,-107569000
801070,光伏,-2516,0.07,-29783299,939724334,49133989,-78917288,1.978,6756419667904,-4143690,72,-0.099,-2818542481,95041133500,6855364122,-9673906603,0.927,6708025421504,-395911000
801071,保险,21,0.214,-1383956,38746239,15077918,-16461874,1.859,1829871559231,-3603360,-74,0.07,-379932640,3996916606,1158156888,-1538089528,0.748,1816116831709,-60537500
801074,核电,-129,-0.099,-3424701,72154231,7269746,-10694447,2.194,812747162276,0,-341,-0.218,-103806187,7183834164,605402599,-709208786,0.934,806991294503,-22596500
801075,自主可控,2,0.023,4745906,101593265,10682386,-5936480,2.128,379689646306,0,47,0.472,-83305018,12244828926,1310669123,-1393974141,0.848,383835911269,111062000
801076,乡村振兴,6,0.064,36598,69539771,1054510,-1017912,1.517,819592768079,0,18,0.187,-113671078,9724254457,217443568,-331114646,0.857,819559474814,-23570900
801080,煤炭,-1389,0.105,-4577158,49855069,9548258,-14125416,1.435,1447944846976,0,11,0.299,-46700906,7369134166,1537098506,-1583799412,0.84,1458376318976,-47011800
801081,证券,2,0.03,-13476566,89506603,28232417,-41708983,1.25,2340972183836,-3697080,-53,-0.539,-908726841,11736507961,3136196330,-4044923171,0.692,2327893311643,-221258000
801082,ST摘帽,-3001,-0.013,-16030990,299099504,38177225,-54208215,2.938,1596312521216,4294260,-372,0.684,-315643275,26920238783,1272537603,-1588180878,0.929,1599217544908,-19254600
801083,电阻电容,7,0.075,377943,6559315,377943,0,1.041,277626906304,0,-24,0.247,-4368802,1846854037,108680970,-113049772,0.904,275187546853,-13904100
801085,人工智能,-5720,-0.192,88922458,3087350517,480087078,-391164620,2.404,7869899136832,41309800,4905,1.11,76224199,287552208275,34261847129,-34185622930,0.93,7963734057824,991473000
801086,玻璃,-14,-0.146,-9000337,29458104,2842895,-11843232,4.173,305917279246,-4143690,-109,-1.098,-163142555,2100834772,228519871,-391662426,1.02,302233180407,-26953300
801087,风电,-397,0.027,-4742421,247717389,15987729,-20730150,1.689,2247667636992,-6364340,-28,-0.161,-495586376,32099177484,1714733032,-2210319408,0.949,2233385771047,-109415000
801088,有色金属,4,0.042,-13506765,247811249,22527596,-36034361,2.59,2485487453120,0,-156,-0.22,-709735993,24342205468,2116214735,-2825950728,0.969,2469937402403,-119999000
801092,蓄电池,33,0.336,0,8385002,0,0,1.153,107430681490,0,-47,-0.48,0,1182253137,0,0,0.715,107049705918,0
801093,天然气,24,0.25,-4488531,74591031,14129130,-18617661,1.604,2565796511009,3775000,27,0.276,-186501224,9613855943,917253424,-1103754648,0.779,2566454511208,-46825200
801095,游戏,-1020,-0.21,9110329,461430834,107016360,-97906031,2.497,830449595648,12349800,718,2.265,-152754932,52766754031,11303174594,-11455929526,0.931,852565352290,-92545600
801096,钽电容,-24,-0.242,0,1779221,0,0,1.23,75362483208,0,-213,-2.134,7016779,677175177,20314484,-13297705,1.008,73339068315,0
801097,流感,-8,-0.087,-883521,19841961,338718,-1222239,1.162,426449569424,0,11,0.112,-14533611,4397667389,119167921,-133701532,0.899,427721236134,964723
801099,覆铜板,-21,-0.218,-96717,119167495,388056,-484773,2.602,274868799658,0,-5,-0.051,-42747332,8216661741,188469108,-231216440,0.832,274665962613,0
801100,多胎概念,-1601,-0.016,-1738635,187098311,938271,-2676906,4.083,620523596352,0,96,1.07,-113094880,15300807897,393161645,-506256525,1.156,625055264580,-4611730
801102,涤纶,-12,-0.12,-853385,7245822,0,-853385,0.95,406341867423,0,8,0.084,-65231675,1887681888,234302619,-299534294,0.879,400152901746,273671
801104,开板次新,-92,-0.93,0,5401577,0,0,3.642,631445150,0,192,1.925,0,265068125,0,0,0.73,649643636,0
801112,互联网金融,4,0.113,-8254333,220577245,27974789,-36229122,2.806,1038843032975,-457082,53,0.597,-368927310,25306519601,2340628668,-2709555978,0.902,1041488345552,-77307600
801114,外贸,-2589,0.107,-3865630,110627351,7771080,-11636710,2.308,648766715712,0,65,0.882,-72572394,12895167800,468338169,-540910563,1.137,652332011032,-21755000
801115,海南,18,0.188,389650,196860241,2684213,-2294563,2.559,371802010255,0,55,0.815,-13420332,6780925097,241877408,-255297740,0.79,374586368518,0
