股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801001,芯片,-20075,0.245,10495258,1129983518,203102189,-192606931,1.753,7629527614784,-147037,8811,2.215,2891586657,180003340271,28454900905,-25563314248,1.132,7771389232704,1228830000
801004,锂电池,-11934,0.175,11054977,912522712,57114491,-46059514,3.607,6433843886400,6888940,420,0.847,-427937501,96014405659,6097774895,-6525712396,1.192,6473858780065,95919000
801008,高送转,34,0.344,0,55317779,0,0,0.9,993181706594,0,168,2.009,-3618824,12527093286,34526935,-38145759,1.033,1006004654025,-3409950
801009,充电桩,-1,-0.019,7562684,405071306,46221034,-38658350,3.836,1316971060729,7349670,-250,0.573,-538211389,31339249517,2059688432,-2597899821,1.218,1319794673332,-65140700
801012,钢铁,27,0.279,506276,24388642,5838304,-5332028,1.179,747364989318,0,64,0.644,-123453975,3942405131,541516952,-664970927,0.947,750637189265,-14726900
801016,稀土永磁,11,0.114,6187980,106793622,12562458,-6374478,1.368,845084555286,0,61,0.612,-189830713,15594165354,1720380281,-1910210994,0.815,853635184854,-29091300
801019,物流,15,0.153,146730,122141072,4167503,-4020773,1.878,1340910186974,0,67,0.673,98222924,16118335531,1092357849,-994134925,1.026,1350894792568,-16883600
801022,换电站,16,0.164,-748974,229870306,332498,-1081472,6.718,513937151496,0,9,0.094,-25898240,8702042942,178772591,-204670831,1.173,514638018178,-167099
801027,银行,30,0.3,-15430589,137939129,63787928,-79218517,2.296,6771345221429,270577,1132,1.329,117464469,13764717008,6120783446,-6003318977,1.361,6848347360228,183975000
801031,文化传媒,45,0.454,23199646,350904264,171504904,-148305258,2.152,1193377018840,4120320,1165,3.1,1627827659,44332226206,8886197292,-7258369633,1.34,1230924645108,642088000
801032,深圳国资改革,44,0.445,676052,45328545,1419578,-743526,5.442,103613512440,0,-10,0.742,-16610681,2967909237,24069256,-40679937,1.346,104628383260,0
801033,国企改革,3,0.035,-19841283,989210346,74870417,-94711700,2.69,7357641036544,-15263400,68,0.821,-524702942,96087375438,2713634960,-3238337902,1.093,7432723785865,-2299380
801035,酿酒,23,0.235,24206633,155105754,76924134,-52717501,1.301,4495161381446,23654000,1179,1.799,2061072185,30536039402,10359615124,-8298542939,1.222,4587276737569,89412900
801039,机场航空,26,0.268,-1114903,14969949,3144575,-4259478,1.359,633562250827,0,18,0.188,-170187039,3088367888,673980270,-844167309,1.094,630764171089,-165716000
801040,造纸,-2,-0.028,-190993,8958072,781893,-972886,1.632,166140598792,0,99,0.996,-17968969,2007956144,229893069,-247862038,1.096,168378755562,0
801044,土地流转,-20,-0.2,-658258,36956916,0,-658258,2.144,341208680473,0,37,0.584,-970671,4125898697,148865327,-149835998,0.885,343332497266,3747550
801045,医药,-31376,0.234,6008018,392516610,53078959,-47070941,1.96,6028788154176,2098120,-203,1.013,-119849691,62694469712,6803265607,-6923115298,1.063,6080314340291,31910800
801046,医疗器械,-131,0.186,-1140693,107197106,8402664,-9543357,1.74,1763379211487,0,-49,1.003,248965300,18043946525,1941125953,-1692160653,1.079,1781256044415,68047100
801047,钠电池,17,0.178,-718098,107518375,694042,-1412140,1.591,2047272198185,0,82,0.821,-39232746,22726252362,262076684,-301309430,1.152,2057831693050,-8450630
801048,黄金,-805,0.944,15602011,133703859,35401437,-19799426,4.129,835736655872,0,667,1.679,38130251,12737196481,1455591913,-1417461662,1.812,837962159104,64304700
801049,租售同权,1,0.017,0,10638707,0,0,1.091,419122567528,0,83,0.83,-1962817,1970977363,1623864,-3586681,0.888,422212785535,0
801050,彩票概念,27,0.274,0,205254510,0,0,4.883,136102812848,0,109,1.567,1241004,8805728281,21831468,-20590464,1.123,138294181802,0
