股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801001,芯片,-25,-0.253,12711327,1059971021,178401004,-165689677,1.693,7379651311603,38911400,-1919,-2.946,-5461906345,157678914750,17524990249,-22986896594,0.955,7219325987868,-1247330000
801004,锂电池,-252,-0.122,11615988,486039727,50366981,-38750993,1.757,6020183947776,-3280000,-160,-2.175,-1213596459,72966567681,3882212265,-5095808724,1.056,5960123916832,-135044000
801008,高送转,-14,-0.143,0,43260652,0,0,1.018,963177558791,0,-194,-1.944,890722,10201370967,9546924,-8656202,0.854,948317979139,0
801009,充电桩,-15,-0.055,7066838,313732902,27476414,-20409576,2.634,1100501865152,0,6,-2.419,-470091415,26876144727,1806803579,-2276894994,1.123,1081479455040,30516600
801012,钢铁,12,0.128,-1632685,18237627,1440257,-3072942,0.836,741117482209,0,-188,-1.885,-164504306,4774186714,814552306,-979056612,1.067,730417245562,-17032500
801014,行业龙头,-15,-0.159,-420413,680202696,2703919,-3124332,0.903,22790328096535,0,-167,-1.676,-143988727,153498696837,1682816847,-1826805574,0.948,22618300439304,-24273500
801016,稀土永磁,-12,-0.126,3889644,79433157,5814801,-1925157,1.145,834411033899,0,-232,-2.32,-147195842,11887452034,1077447439,-1224643281,0.977,821646669647,-68287400
801019,物流,-307,-0.08,2180909,101882445,5850664,-3669755,1.647,1328130614560,0,32,-1.671,-421268905,16405000106,818718730,-1239987635,1.077,1308299939648,-23161100
801022,换电站,-15,-0.151,6832984,132759667,64050366,-57217382,4.026,482847616771,10736000,-244,-2.444,-235478133,7950701008,627720567,-863198700,1.22,474395278950,-72214100
801027,银行,-10,-0.104,-6274393,51153617,13680695,-19955088,1.029,6630763556668,0,-55,-0.556,-249345656,15009185011,6200827390,-6450173046,1.129,6633974675386,-195815000
801031,文化传媒,-1141,-0.381,23397575,698891331,167965245,-144567670,2.68,1318272373696,24111700,1068,-1.112,-1493834883,73144237844,10410912390,-11904747273,1.097,1311768006086,-1702650
801032,深圳国资改革,-22,-0.228,0,23318280,0,0,3.806,105886680263,0,-250,-1.469,-17328491,2385000435,7301312,-24629803,1.194,102932120221,-3014550
801033,国企改革,-13,-0.118,-9004002,792291581,39958755,-48962757,1.849,7020933683264,4855220,-172,-1.599,-594630552,106812819627,2614512162,-3209142714,1.114,6963079588470,-16081900
801035,酿酒,2,0.024,-1037198,347803748,32447844,-33485042,3.465,4439309925997,5216760,431,-0.685,89709175,26499792990,5307790982,-5218081807,1.236,4427224491639,6088940
801038,维生素,0,-0.009,519143,3850348,519143,0,0.624,171752714694,0,-933,-3.339,-100160177,1820690744,185810004,-285970181,1.387,166821300703,-18508600
801039,机场航空,-6,-0.07,-296016,10814997,1584265,-1880281,0.806,586103459421,0,-170,-1.709,-55899525,2799585780,433122578,-489022103,0.564,579292833420,-22740500
