股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801001,芯片,489,-0.109,-17250928,865695981,96723828,-113974756,1.794,7479296928106,-6043110,47,0.497,-230619113,127726089138,12418946243,-12649565356,1.071,7538175762534,-36015400
801004,锂电池,15,0.158,-9149201,675387944,52597008,-61746209,1.921,6414287616064,-4242080,527,1.104,150080061,94118650594,7166986534,-7016906473,1.271,6476652320326,80089000
801008,高送转,2,0.026,0,78211067,0,0,2.206,1001229873603,0,59,1.189,-1320347,13683185487,50855903,-52176250,1.813,1002865581078,-3728830
801009,充电桩,1,0.019,-3375182,100193057,3026914,-6402096,1.517,1276211375740,0,81,0.819,-68078515,20392471886,1328181188,-1396259703,1.082,1290925904293,-20150600
801012,钢铁,11,0.118,6119733,61682309,20259096,-14139363,2.096,800633456762,3017500,61,0.614,-234149245,9398035996,2028879059,-2263028304,1.185,801165707560,-112637000
801016,稀土永磁,15,0.153,-2133351,80790742,7562265,-9695616,2.149,828967838554,0,117,1.176,10800188,12089952680,1696487206,-1685687018,1.21,837543420703,-15499200
801019,物流,14,0.14,-5967009,180480062,12911418,-18878427,4.319,1386186150016,0,105,1.126,-146937123,20430863429,1515619209,-1662556332,1.354,1398579991536,19796300
801022,换电站,6,0.064,13341,58575409,346446,-333105,2.239,529900911586,0,127,1.275,-43411152,10073348864,150770125,-194181277,1.424,539168527213,-3706320
801027,银行,24,0.25,1082355,297303759,137980102,-136897747,5.603,7038550805822,5352160,1120,1.205,-1250403468,29896073202,12015952828,-13266356296,1.849,7033735037324,-579557000
801031,文化传媒,-10,-0.1,3786791,204804829,35220866,-31434075,1.694,1178565863360,8983940,1009,2.092,352650332,34862365213,4663208510,-4310558178,1.248,1204560027349,57110800
801032,深圳国资改革,85,0.85,0,23459952,0,0,2.681,105200474523,0,172,1.723,-2048117,2612679146,21189184,-23237301,1.148,106473791569,0
801033,国企改革,20,0.224,-7734324,973621343,15147976,-22882300,2.757,7560548758208,0,142,1.631,3410504,125610330720,3014644527,-3011234023,1.28,7616131130368,-12624700
801035,酿酒,42,0.43,92531091,490977899,328270278,-235739187,3.122,4981314823844,92835600,1136,1.494,-635365035,44668717474,16040727004,-16676092039,1.325,4921530320503,9037420
801039,机场航空,35,0.358,12520048,61729228,39902943,-27382895,2.255,664394129297,3087900,114,1.143,-32993075,6085235737,1750755235,-1783748310,1.44,668010555857,-6777510
801040,造纸,43,0.431,-1408004,12107766,726061,-2134065,2.064,175944433239,0,87,0.875,-80423401,2286952535,319172280,-399595681,1.286,176690073087,-17713500
801044,土地流转,29,0.293,-2077099,76396108,860735,-2937834,2.744,361293296256,0,249,2.719,-27281883,9261352374,162169749,-189451632,1.256,368651977088,821212
801045,医药,-137,0.125,-13970366,479928247,69134250,-83104616,2.254,6187071589632,-20146700,-835,-0.589,-2385995979,93467618591,12369824655,-14755820634,1.465,6074182459840,-419927000
801046,医疗器械,-141,0.089,8392106,125145285,24755775,-16363669,2.869,1812123260916,3150000,-332,-0.624,-449056410,24701659594,3137578109,-3586634519,1.299,1766706746972,-131689000
