股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801306,深圳,-2384,0.157,-4575996,798576456,26863632,-31439628,2.666,6133268166272,0,88,1.034,129473721,81807732431,1816385244,-1686911523,1.094,6194645407167,168667000
801310,浙江,9,0.161,1271831,687906773,12643613,-11371782,6.555,1783597653354,0,61,0.611,-216589955,26913899079,802897108,-1019487063,1.021,1795451757685,-2770200
801313,参股金融,-2781,0.267,-944746,208193029,6833104,-7777850,3.426,4097121782272,0,97,1.167,-1980025,32338578367,1374992956,-1376972981,0.999,4129233528288,61053000
801314,ST板块,-8077,-0.276,5865649,142056405,28070786,-22205137,12.766,403344915232,0,4142,1.988,117213518,5045069313,781765603,-664552085,1.14,411182469381,-10113600
801315,高校,4,0.049,4364398,242394141,9208899,-4844501,2.171,507746197102,0,-47,-0.473,-213100495,16320438189,566042358,-779142853,0.859,504782114175,-49570000
801319,福建,21,0.213,-1314585,272228763,0,-1314585,4.263,1528781797149,0,43,0.431,-1514002,17495230124,41766308,-43280310,0.939,1536935710816,0
801321,广电网,-12,-0.127,-1448413,145906581,3151690,-4600103,5.86,231948388401,0,-15,0.264,-56810951,8669401787,301161902,-357972853,1.405,233185919825,8369330
801328,消费电子,-1365,0.409,7617682,1119301390,150694902,-143077220,2.747,4427267459968,-21428300,1557,0.839,-426369944,98585799916,7532546933,-7958916877,1.036,4441255200768,-161421000
801329,白银,55,0.557,677634,8135821,999773,-322139,1.205,238687657820,0,159,1.597,124181408,2792811408,363098979,-238917571,1.754,241937758358,7836690
801330,旅游,-212,-0.02,722170,165981440,34283614,-33561444,5.575,565203287855,6736400,-171,0.377,4563328,12675463089,1812365282,-1807801954,1.49,567617533846,35321900
801332,大麻,-212,-0.124,-2785654,97700968,734866,-3520520,4.661,417009982416,-3096320,-227,-0.28,-11998228,5604601078,200485536,-212483764,0.981,416831158673,-218997
801342,超高清视频,-1359,0.528,1226705,522551276,49482829,-48256124,4.101,1514832145984,2082000,36,0.918,4178919,35425367300,2387589765,-2383410846,1.088,1517648148770,320440000
801346,智能电网,-4388,0.117,-6260043,351925579,13658460,-19918503,1.383,4082267528992,-8832280,564,0.779,-284360920,60337036193,2055719043,-2340079963,0.91,4115612908512,-30811200
801350,一带一路,-4589,0.107,1093672,499593965,26009835,-24916163,2.449,7783579719104,-4292330,58,0.717,-476648278,68092896884,2490594423,-2967242701,0.997,7792452360576,-182670000
801351,科创板,-18269,0.301,4502535,480621135,95421783,-90919248,1.781,3470167494528,9131120,-78,0.271,-755878294,72564650445,7201879603,-7957757897,0.996,3464691302519,87490200
801358,大飞机,-594,0.058,-1367597,27023279,449046,-1816643,0.875,995723446144,0,23,0.236,-43207877,7968817667,227020061,-270227938,1.064,997600592384,-3062300
801359,华为海思,37,0.379,-301834,31290937,0,-301834,1.103,244075842271,0,32,0.325,-61326163,6111388845,111700762,-173026925,0.96,245521110522,3367500
801363,黑龙江自贸区,12,0.129,0,2025845,0,0,0.7,38944262252,0,56,0.564,5469227,600046801,8742932,-3273705,0.712,38912157360,0
801369,病毒防治,-8187,0.14,24147685,1119106059,89292314,-65144629,4.023,5059096553184,10163900,-217,0.284,-256224286,68952248995,4333631946,-4589856232,1.023,5069013368449,19562000
801371,垃圾分类,12,0.124,0,6941423,0,0,0.927,147248283730,0,83,0.834,-15875489,1740178163,42446195,-58321684,0.995,148800320011,-4398500
801374,造船,-15,-0.155,2954777,74010282,17070882,-14116105,1.452,402695765369,0,-187,-1.872,-422949782,11407159925,1305092980,-1728042762,1.066,394867796037,-66971900
801375,新材料概念,-3978,0.28,-918750,146572907,2607871,-3526621,1.526,2381690823360,0,-47,1.737,-87593800,32223100361,582975229,-670569029,1.144,2426109357248,-34838900
801376,健康中国,-1,-0.018,1021928,115727814,2021128,-999200,2.569,1724127148845,0,-219,-0.195,-69024737,17179266568,253450157,-322474894,0.919,1727927149655,-24748400
801377,金刚石概念,44,0.449,0,3456496,0,0,0.605,67022193118,0,192,1.925,26033606,1358038731,125896685,-99863079,1.251,67837584455,0
801378,电梯概念,0,0.008,0,37716014,0,0,2.118,76805302486,0,-131,-1.319,-7365639,3486793298,30699595,-38065234,0.948,74515053340,-4775680
801379,碳纤维,-593,0.066,-301058,13101403,0,-301058,1.455,314175327360,0,187,2.696,-26812381,3149168630,117970563,-144782944,1.187,319855489435,-8931750
801380,生鲜电商,58,0.581,-379750,6191016,490000,-869750,3.35,272617845902,0,191,1.919,-8858163,1297291876,73369425,-82227588,1.737,278277122491,-8006770
801382,分拆上市预期,29,0.295,0,98548148,0,0,1.631,1851557030307,0,122,1.23,-2304769,16044427652,76499230,-78803999,1.142,1860066824458,0
801386,轨道交通,-1197,0.024,-8298463,207889451,5336803,-13635266,1.316,2566333632416,0,21,0.211,-207204164,32533723261,1033871719,-1241075883,0.963,2557173286094,-130819000
801388,VPN,25,0.252,0,60073883,0,0,1.388,261071510574,0,0,0.004,-9750175,10210540126,3723332,-13473507,0.917,258196394648,0
801391,美容护理,16,0.162,1519399,58976799,2568948,-1049549,2.085,312238463620,0,0,0.005,-40924717,4617903756,239015297,-279940014,0.863,311158949072,9722550
801396,云游戏,54,0.547,13534340,142399445,48959304,-35424964,2.397,160589799698,15494000,-58,0.171,342365647,12922882967,2533744542,-2191378895,0.886,160525014260,360739000
801399,智慧城市,-5,-0.022,1903117,739034042,6181392,-4278275,2.546,2387215736379,0,10,0.211,-7765864,64122134294,321800839,-329566703,1.01,2379713583373,-11526600
801407,上海,5,0.06,-3522530,108468463,5001347,-8523877,1.814,1158742026195,0,85,0.857,-40350741,14539037000,423107991,-463458732,1.101,1168916321889,-27914000
801408,智能家居,-962,0.374,2009348,401261476,5204328,-3194980,2.607,1446864161472,0,190,2.648,19168734,31161091705,365486032,-346317298,1.102,1480520338752,37046800
801411,柔性屏,28,0.439,-1699698,221602467,1259150,-2958848,2.358,728848334902,0,52,0.672,-33703737,18136218784,146481306,-180185043,0.949,730645094153,0
801412,新零售,13,0.139,8283,44003017,3367390,-3359107,1.272,874283241164,0,121,1.214,13841229,9028116717,406877859,-393036630,1.043,883644917762,3848020
801414,教育,-1600,-0.006,9438328,950736760,25975309,-16536981,3.493,1146449041152,0,280,0.177,-340721451,67491825257,1176996371,-1517717822,1.049,1141061798464,-124798000
801415,电子发票,19,0.193,0,5580358,0,0,1.136,74175777337,0,-29,-0.291,1111187,987756946,7279354,-6168167,0.814,73775810048,0
801417,天津自贸区,-6,-0.062,0,1545042,0,0,0.719,54719497750,0,157,1.575,-2399741,587193411,30368680,-32768421,1.199,54956451972,0
801418,民营医院,0,0.21,-41624370,614189773,450162678,-491787048,16.682,723463205496,-69974400,-150,-0.308,-433204435,8836753174,1540995405,-1974199840,1.071,724460537698,-180435000
801419,通用航空,8,0.088,15911216,45811520,18100228,-2189012,1.847,327702205424,0,-28,-0.288,205489869,3547025427,356823731,-151333862,1.058,328886520506,20412
801420,蓝宝石,31,0.317,0,85802653,0,0,1.236,726602916914,0,59,0.596,15959237,12143353107,82504591,-66545354,0.845,728055104885,16555700
801422,小金属概念,22,0.224,0,101557222,0,0,1.256,2153050715032,0,188,2.182,10048337,27479923957,130498240,-120449903,1.332,2195737123377,-202177
801427,福建自贸区,-2,-0.029,0,6230896,0,0,0.82,118611214912,0,45,1.105,-584719,1786714410,25658378,-26243097,1.145,119501092875,0
801430,智能交通,-35,-0.357,-7560684,205915373,3013039,-10573723,2.775,881087765422,0,-38,-0.38,-70372276,18023304299,253945279,-324317555,0.977,880935129986,-30111700
801433,光学镜头,64,0.649,-19252172,70796838,17168479,-36420651,3.362,276254763200,-19968000,11,0.113,81152945,5405105174,794959298,-713806353,1.321,275080768742,49166600
801437,传感器,0,0.003,12661698,112862331,23354550,-10692852,1.414,770506024936,0,-95,0.248,-264124033,16824008395,1267105903,-1531229936,0.87,771540793546,910836
801439,网红经济,-977,0.223,14694966,627067614,95241300,-80546334,2.824,1231604586688,1573080,77,1.115,-382770365,56878166482,4625979285,-5008749650,1.027,1240484648885,32962200
801443,转基因,-51,-0.516,0,9779698,0,0,1.603,131050365428,0,-1,-0.019,-2800172,1508457430,99227587,-102027759,1.095,131549761881,-6798300
801445,元器件,-180,0.981,-4748,56533509,301220,-305968,3.377,285884302912,0,1,0.815,1161347,3072089424,154026268,-152864921,0.742,285347437969,-3332380
801450,年报预增,6,0.065,803684,222376280,5762013,-4958329,1.852,1712878198377,0,124,1.329,-35325806,29783318878,232362002,-267687808,1.052,1733936334223,-3208230
801451,wifi6,9,0.091,2655238,109258335,5846390,-3191152,4.22,102677040011,0,-57,-0.573,-14926942,6488931928,72691567,-87618509,1.042,101781007064,0
801452,再融资,10,0.103,3613382,429425788,11331807,-7718425,2.104,2261806350852,0,58,0.826,-136288765,46482018628,700897766,-837186531,1.016,2285288305293,22858900
801457,武汉,10,0.104,-238408,80980178,2420143,-2658551,1.459,553745549886,0,10,0.1,-11009168,11048208706,244755315,-255764483,0.907,551703842946,0
801461,C2M,-783,0.164,-945590,20995308,0,-945590,1.546,257049809664,0,101,1.504,-14329318,3629756847,82499139,-96828457,0.984,261477868160,0
801462,RCS,33,0.337,3122839,211405229,9357419,-6234580,3.858,501843626705,0,-22,0.408,-234246905,14180755832,588081105,-822328010,1.02,500038985228,-56368100
801464,农业,-6798,0.078,404121,668091850,11863688,-11459567,6.509,2161378668672,0,96,1.104,-62768840,23745358536,1603661291,-1666430131,1.13,2188100017655,-8775330
801467,REITs,28,0.28,0,46695997,0,0,1.817,772831224700,0,123,1.663,-14787993,6821022630,45799729,-60587722,1.158,780560872510,0
801468,电子烟,-1199,0.001,7263258,147528207,44864393,-37601135,7.18,406816981504,5998040,-168,0.314,-4516020,9065053326,783362440,-787878460,1.122,411020975725,58492400
801471,免税,10,0.104,1747542,44247190,9592479,-7844937,1.405,733676674683,3013400,167,1.677,175730261,7826066327,1257743685,-1082013424,1.162,742357831843,29347300
801479,NMN,-576,0.239,-1168433,10194331,0,-1168433,1.212,127628256512,0,98,0.984,6663438,1843734348,111091333,-104427895,0.877,128583535362,-703301
801493,光储充一体化,-3,-0.036,-1131052,27259042,314805,-1445857,2.321,142332061864,0,98,0.989,33629316,3752027638,403468871,-369839555,0.932,143891301865,4157040
801511,高端制造,-3394,0.058,-14199287,411590731,24767422,-38966709,1.679,1834781956736,-11969500,1002,0.061,-593511252,43594845291,2206804766,-2800316018,0.898,1835440195136,-128718000
801519,汽车类,-14381,0.19,13711300,1249299152,109650335,-95939035,2.639,8957356050944,16699400,108,1.175,615007638,157291902184,8240694686,-7625687048,1.033,9055419112256,352318000
801522,专精特新,-4581,0.182,-17138440,394903183,26747007,-43885447,1.979,2179510245440,-19968000,46,0.549,-110751344,50247841249,1693461727,-1804213071,0.997,2190357083745,-6943560
801529,激光,20,0.202,-392849,83084487,0,-392849,1.97,244326328022,0,-24,-0.245,29697424,9825886411,122175167,-92477743,0.878,242774100857,0
801530,中字头,16,0.164,2180704,366366645,9966552,-7785848,1.368,8159075183881,3773730,-6,0.196,-95693377,51821957883,620449306,-716142683,0.94,8143514700144,-36357600
801541,生物质能,5,0.051,0,55819979,0,0,1.65,419166450218,0,77,0.982,-2341229,5470477178,8711048,-11052277,0.774,421347080878,0
801543,水电,17,0.175,785352,42224436,3308326,-2522974,1.377,1063789938482,0,34,0.347,-166442977,4973273050,560635821,-727078798,0.711,1059904807573,-68790900
801546,钒电池,-1162,0.38,0,23824023,0,0,1.057,454411941184,0,690,1.904,66049095,7341017017,178722060,-112672965,1.024,461762917056,25556800
801547,碳基材料,20,0.2,-350000,18561557,0,-350000,2.659,134543263113,0,147,1.474,-13226696,1974909069,37653330,-50880026,0.873,136535234302,0
801550,国资云,-5,-0.057,4154380,223333165,12098080,-7943700,3.096,785520035285,0,-9,0.137,-7999430,23842980921,537860451,-545859881,1.532,787152391364,6646260
801553,元宇宙,-1184,0.307,-13237344,2702365852,80991797,-94229141,5.103,3394726789824,-18357500,-49,-0.133,-229150863,148824309669,4040784522,-4269935385,1.132,3376281471186,37875500
