股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801001,芯片,-31,-0.314,10679106,560356021,50361156,-39682050,1.483,7203542142671,-4551530,-672,-1.727,-2280279790,86268999096,6593366046,-8873645836,0.899,7106824777411,-239533000
801004,锂电池,-24,-0.246,-2370667,314567627,25160996,-27531663,1.348,6209566777280,4097770,2084,-0.94,-149031434,52913256268,4072142174,-4221173608,0.94,6183792012288,233384000
801008,高送转,-31,-0.313,0,19223949,0,0,0.604,963295712826,0,-100,-1.002,5359710,7444081016,19403462,-14043752,1.084,951183770958,4343080
801009,充电桩,-30,-0.31,-1446364,174861935,447534,-1893898,4.506,1252575726912,0,-157,-1.494,-127209431,14294662803,443925277,-571134708,1.043,1241566897164,-77370
801012,钢铁,-14,-0.144,2542108,33927248,3440029,-897921,1.603,772293798020,0,-43,-0.439,-14449070,4419831693,703036302,-717485372,0.929,771732367889,4400200
801016,稀土永磁,-26,-0.265,-1518537,51206932,3851688,-5370225,1.325,805186141448,0,-138,-1.388,-363738096,7442324414,749874652,-1113612748,0.779,797135787687,-57566700
801019,物流,-26,-0.263,259107,87390080,6951521,-6692414,1.886,1346784643776,0,-158,-0.907,-162424381,13754448594,761651652,-924076033,1.032,1339159676426,-92551100
801022,换电站,-20,-0.203,0,49548097,0,0,1.34,503712519110,0,-133,-1.334,973507,4826124948,88564848,-87591341,0.825,497966751005,-212225
801027,银行,-31,-0.31,-6569475,86775368,35034952,-41604427,1.546,6732600034721,-1710440,18,0.189,-68404464,10922994295,4114716632,-4183121096,0.874,6745782162767,126886000
801031,文化传媒,-12,-0.122,9378208,164678347,24624369,-15246161,1.339,1176633402625,5096220,-262,-1.547,-727189398,26195655239,2588466422,-3315655820,0.895,1159781076349,-73599700
801032,深圳国资改革,-66,-0.669,-471600,16754036,0,-471600,2.636,102940336121,0,21,0.211,-3027313,2477730469,9735268,-12762581,1.313,103275917352,-3469240
801033,国企改革,-28,-0.287,3814140,548640772,46067166,-42253026,1.736,7343465690240,15481200,-78,-0.66,-233526802,76223902302,1853017975,-2086544777,0.968,7309631125819,53935900
801035,酿酒,-31,-0.319,2701543,212739678,33743210,-31041667,2.784,4684219770211,13888400,-66,-0.66,-226698723,19160226513,3298264688,-3524963411,1.068,4704989568941,-251918000
801039,机场航空,-15,-0.154,480061,9144209,1972624,-1492563,0.662,647320222241,0,-84,-0.849,-94288394,2428452261,482627193,-576915587,0.631,642782952762,2203840
801040,造纸,-6,-0.069,2150074,14320496,2463674,-313600,1.74,170150798403,0,-36,-0.369,-8279428,1862921788,187638457,-195917885,0.975,170064963277,-3466640
801044,土地流转,-18,-0.071,-371250,19597764,317500,-688750,1.117,353102385664,0,7,0.85,-4093921,4331292526,104191625,-108285546,0.864,355278665149,3771460
801045,医药,-29,-0.284,7886801,709932736,131881353,-123994552,2.35,5939160602624,5234300,858,-0.753,-1186945445,82834348687,7646125824,-8833071269,1.013,5925153726400,-100700000
801046,医疗器械,-35,-0.35,26076241,204288681,55516893,-29440652,2.336,1677411384960,16072900,-68,-0.519,10322437,24469873444,2425132240,-2414809803,1.064,1679188061888,33689600
801047,钠电池,-23,-0.238,0,85370665,0,0,1.537,2043461214720,0,-82,-0.582,-36083209,14053002112,69292816,-105376025,0.918,2041179287842,-9489290
