股票代码,板块名称,当前强度_0930,当前涨幅_0930,净额_0930,成交额_0930,主力买_0930,主力卖_0930,量比_0930,流通市值_0930,300w大单净额_0930,当前强度_1500,当前涨幅_1500,净额_1500,成交额_1500,主力买_1500,主力卖_1500,量比_1500,流通市值_1500,300w大单净额_1500
801001,芯片,-3873,0.261,49805171,960422032,244652874,-194847703,1.634,7642342677120,58709500,-449,-0.429,-2407329627,125631535339,15199502930,-17606832557,0.84,7613639439936,-439897000
801004,锂电池,-15535,0.272,17473110,521747657,77178226,-59705116,1.866,6317098480512,24036700,1433,0.461,317447792,84419257411,7159960595,-6842512803,0.88,6373393235520,54654000
801008,高送转,37,0.376,0,35890516,0,0,0.881,979375838385,0,79,0.798,6639612,9255590419,19762781,-13123169,0.733,984259214280,3011500
801009,充电桩,-4664,0.355,5206992,196355010,19874816,-14667824,1.606,1292873532352,0,-18,0.023,-93398410,22169956297,1276175740,-1369574150,0.74,1293009562158,5073750
801012,钢铁,1,0.019,-301908,27256087,5298913,-5600821,2.021,741595624531,0,0,0.009,-40533337,3463174852,557211344,-597744681,0.658,742126195303,-12327200
801016,稀土永磁,0,0.008,11077279,161026083,32508950,-21431671,2.566,853486924512,0,-79,-0.792,-543716108,15768264927,1644657443,-2188373551,0.782,847234978057,-72545200
801019,物流,-2866,0.332,2767004,171047345,23160651,-20393647,2.536,1343461886720,0,9,0.166,95765305,15180708245,1079143659,-983378354,0.87,1342514286877,45160700
801022,换电站,36,0.364,-1464335,58803220,2091208,-3555543,1.668,511981078960,0,-29,-0.298,-48528490,5342994801,160113577,-208642067,0.636,508049009692,0
801027,银行,16,0.167,-503577,49950378,17156074,-17659651,1.096,6759680023636,0,-1,-0.012,-333068182,7711045373,2771207345,-3104275527,0.713,6746157805034,-22072000
801031,文化传媒,-4402,0.478,22327825,173847911,41809812,-19481987,1.433,1198461600064,6052930,1944,1.449,526891696,28411488029,4394211799,-3867320103,0.94,1214184583936,163377000
801032,深圳国资改革,74,0.743,0,46994449,0,0,4.23,105278770176,0,59,1.38,910649,2633023608,8478607,-7567958,1.056,105784019604,-3158750
801033,国企改革,24,0.26,-574785,748934571,27077630,-27652415,2.555,7381899067936,0,13,0.218,-359017827,75836360921,1588838489,-1947856316,0.873,7370020009890,-43182400
801035,酿酒,37,0.376,13386311,172178395,69524330,-56138019,3.842,4452442319584,16882300,70,0.703,321073186,17461690503,4125798951,-3804725765,1.049,4449576138709,45552900
801039,机场航空,47,0.478,1446761,19268931,6062176,-4615415,1.143,635971710902,0,0,0.002,88617438,2820671986,592345259,-503727821,0.674,633220631624,12694500
801040,造纸,22,0.225,-373776,7703080,0,-373776,0.769,169312461896,0,-74,-0.741,-63760451,1749586441,190075182,-253835633,0.743,167843394056,-6079820
801044,土地流转,3,0.038,247852,137333912,5882401,-5634549,5.926,346603323112,0,-56,-0.563,-9538845,5597439900,146370950,-155909795,1.133,345213469188,-3233940
801045,医药,-15275,0.261,-1262302,383049694,10939905,-12202207,2.081,6025817852512,0,0,0.036,-395678104,51900633156,4792665632,-5188343736,0.816,6019300599900,-58444700
