股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002523,天桥起重,0.4,30177940,-3.14,4.2,191172757,9.95,4天3板,191172757,342078440,-150905683,机器人概念、军工,13.51,523779969,4199358861,0.534131,65485513
002155,湖南黄金,2.1,20054336,1.52,18.76,152584422,5.33,,152584422,922905181,-770320759,黄金、金属锑,3.76,2404057994,14650548865,1.5015,89630659
002892,科力尔,5.3,39238130,0.87,17.79,36316889,3.73,,36316889,474170787,-437853898,机器人概念、小米机器人,2.83,1584095628,5903342890,1.0217,1093173
600257,大湖股份,1.3,1381947,0.18,5.72,31374913,3.62,,31374913,107920718,-76545805,养老概念、农业,3.44,386050553,2151781151,2.20914,21079222
600963,岳阳林纸,1.1,965120,0.2,5.22,25476704,2.15,,25476704,66125710,-40649006,造纸、碳中和,1.95,231110576,5176970879,1.22687,15825450
300700,岱勒新材,4.0,256200,0.0,9.13,15009237,6.91,,15009237,61788098,-46778861,芯片、光伏设备,6.91,262748002,1997388396,2.50153,0
600961,株冶集团,1.5,1114982,0.0,8.79,14203248,2.33,,14203248,81431642,-67228394,金属铋、金属锌,2.33,331531936,4170957470,1.62533,6946606
002852,道道全,0.4,1708440,-0.22,9.19,11834388,-0.33,,11834388,40046317,-28211929,年报增长、农业,-0.11,200992782,1920227602,0.510096,0
300338,*ST开元,1.1,2778256,-1.43,5.18,11292660,6.15,,11292660,41537974,-30245314,ST板块、湖南,7.69,159277775,1679581400,1.46772,0
600476,湘邮科技,1.7,688727,-0.12,17.15,9399217,0.23,,9399217,26927162,-17527945,人工智能、蚂蚁金服概念,0.35,118129778,1675597615,0.801574,0
000430,张家界,0.4,547564,-0.8,7.51,9252052,-0.13,,9252052,36533098,-27281046,旅游、并购重组,0.67,148143724,1967572709,0.860518,0
600479,千金药业,1.8,1004340,0.0,11.53,8010461,1.14,,8010461,47495662,-39485201,医疗器械、并购重组,1.14,231259486,3454928880,0.931089,5703623
688425,铁建重工,2.7,431953,0.0,4.84,7197011,-1.02,,7197011,24968228,-17771217,科创板、机器人概念,-1.02,114157888,7153311880,0.821354,0
300866,安克创新,2.8,3465714,0.3,86.86,7176999,0.3,,7176999,59236844,-52059845,消费电子、便携式储能,0.0,334739971,15075025445,0.859281,0
003000,劲仔食品,0.4,215800,0.31,12.88,6292995,-0.62,,6292995,11866966,-5573971,食品饮料、湖南,-0.92,87197721,2895603326,0.615119,0
002903,宇环数控,0.5,1603200,0.0,19.38,5697493,0.94,,5697493,70017374,-64319881,机器人概念、小米概念,0.94,292737531,1707874753,1.06996,-4253312
002716,湖南白银,2.1,1788338,0.52,3.91,5323723,1.82,,5323723,149714334,-144390611,白银、金属锑,1.3,452451036,7199873279,1.2697,-3872102
688779,五矿新能,21.6,1719143,-0.99,5.98,3490076,-1.64,,3490076,24133598,-20643522,科创板、湖南,-0.66,121157837,5849097167,0.892117,0
601577,长沙银行,1.1,277200,0.0,8.82,3461485,0.23,,3461485,24683627,-21222142,银行、湖南,0.23,141376863,24614685140,0.665532,4410000
000622,*ST恒立,0.2,187530,0.0,2.37,2863121,0.85,,2863121,2863121,0,ST板块、汽车热管理,0.85,12726039,827569364,0.572287,0
002848,高斯贝尔,2.1,1889640,-0.95,10.9,2804505,3.42,,2804505,33226278,-30421773,算力、卫星导航,4.41,245109229,1217539628,0.801176,0
002412,汉森制药,11.1,763420,1.06,6.64,2614967,0.91,,2614967,15949239,-13334272,中药、医药,-0.15,83459686,1898448309,1.30874,0
600156,华升股份,0.7,1071720,1.04,5.88,2590367,1.55,,2590367,18704093,-16113726,机器人概念、湖南,0.51,129992693,1411588790,0.547732,0
002096,易普力,3.0,216942,-0.24,12.32,2544098,-1.99,,2544098,19093406,-16549308,民用爆破、基础建设,-1.75,129547817,3039675688,1.25557,0
688100,威胜信息,12.9,330475,0.0,35.83,2233828,-1.62,,2233828,10103547,-7869719,湖南、三季报增长,-1.62,63983212,4853998768,0.819715,0
300705,九典制药,21.9,398565,1.01,25.8,2183452,0.04,,2183452,8806251,-6622799,病毒防治、医药,-0.96,87027372,6756666287,0.564693,0
300358,楚天科技,1.4,1476076,0.12,8.37,1948123,0.6,,1948123,30293909,-28345786,病毒防治、专用设备,0.48,155456664,2940178001,0.965024,0
002879,长缆科技,0.8,76492,0.0,14.97,1385785,1.77,,1385785,4968598,-3582813,数据中心、机器人概念,1.77,41006594,1808052515,1.47901,0
000799,酒鬼酒,1.0,1271620,-0.14,58.18,1225473,-0.85,,1225473,62567522,-61342049,白酒、湖南,-0.72,341775282,13029476499,0.677491,0
301087,可孚医疗,8.3,189000,0.4,37.43,1099233,-0.58,,1099233,3482585,-2383352,医疗器械、医药,-0.98,43057641,3390196723,0.967349,0
300515,三德科技,0.8,235104,-0.16,12.88,675407,1.74,,675407,7548125,-6872718,人工智能、机器人概念,1.9,86502251,1335918393,2.02453,0
002913,奥士康,0.3,492274,-0.08,24.48,637914,0.37,,637914,13718873,-13080959,印制电路板、汽车零部件,0.45,93578675,2225096881,1.10572,0
001208,华菱线缆,0.4,148352,0.0,9.76,551973,0.0,,551973,4513434,-3961461,机器人概念、碳中和,0.0,55376400,2635910011,0.576723,0
688157,松井股份,1.4,43420,-0.85,43.61,387247,-0.41,,387247,2359898,-1972651,消费电子、华为汽车,0.44,13540810,2528651841,0.486975,0
603989,艾华集团,0.6,276020,-0.53,14.98,167235,-0.13,,167235,4998178,-4830943,电阻电容、有色金属,0.4,58805843,2168913587,0.831197,0
002452,长高电新,5.9,772240,-0.13,7.99,-106195,1.27,,-106195,33146972,-33253167,电气设备、湖南,1.4,154812285,3891848778,1.07932,0
301118,恒光股份,1.7,587158,-0.24,21.45,-315819,4.23,,-315819,37455043,-37770862,金属锗、化工,4.48,153493907,1758870360,1.62042,0
000989,ST九芝,1.8,910551,0.0,7.73,-341729,0.26,,-341729,23983847,-24325576,ST板块、中药,0.26,92510238,3774315072,1.37378,0
688067,爱威科技,2.2,47520,0.1,19.3,-385000,0.63,,-385000,0,-385000,医药、人工智能,0.52,13933780,719889459,0.814639,0
002847,盐津铺子,1.3,144760,0.0,51.3,-632261,-0.77,,-632261,1026000,-1658261,食品饮料、湖南,-0.77,44903201,4834359213,0.532305,0
000932,华菱钢铁,3.0,1549945,0.22,4.62,-659302,-0.22,,-659302,111392444,-112051746,钢铁、湖南,-0.43,402769701,18760587128,0.986294,-4835518
603998,方盛制药,1.0,213888,-0.45,11.2,-744880,0.09,,-744880,6203432,-6948312,医药、创新药,0.54,65985177,3167503379,0.997117,0
600969,郴电国际,0.5,82377,-0.27,7.26,-914605,-0.68,,-914605,3323299,-4237904,电力、湖南,-0.41,47491197,1881104320,0.702838,0
688308,欧科亿  ,2.5,124719,0.0,20.88,-1150636,0.43,,-1150636,6323939,-7474575,工业4.0、新型工业化,0.43,57901830,1949389793,1.15712,0
002661,克明食品,4.0,202704,-0.1,9.89,-1198157,0.41,,-1198157,2711389,-3909546,食品饮料、农业,0.51,56097036,2060190398,0.979365,0
300268,ST佳沃,1.3,7281,0.25,8.1,-1287402,0.37,,-1287402,767494,-2054896,ST板块、预制菜,0.12,8391972,758826282,0.865443,0
603353,和顺石油,0.5,3857280,-0.97,16.2,-1428981,-2.17,,-1428981,26959678,-28388659,华为超充、化工,-1.22,176432929,976012822,0.959045,0
600975,新五丰  ,5.5,1209808,0.0,6.61,-1618258,-0.45,,-1618258,48619740,-50237998,猪肉、农业,-0.45,179274717,5042648912,0.720863,0
000819,岳阳兴长,0.2,131720,0.17,17.83,-1631118,0.34,,-1631118,22251012,-23882130,化工、POE胶膜,0.17,96900131,4449635733,0.563413,0
300530,领湃科技,1.8,357240,0.0,22.47,-1782962,-1.88,,-1782962,9610080,-11393042,固态电池、湖南,-1.88,88273559,1286169705,0.793334,0
688189,南新制药,4.8,79891,0.51,7.84,-1812576,-0.38,,-1812576,3219068,-5031644,医药、创新药,-0.88,42620591,1197187618,1.08895,0
002986,宇新股份,7.7,189873,-0.32,12.45,-1920196,0.0,,-1920196,5016505,-6936701,超跌、化工,0.32,44735196,3445648079,0.772397,0
000419,通程控股,0.5,254721,-0.51,5.92,-1973901,-0.34,,-1973901,7951968,-9925869,零售、预制菜,0.17,65278470,1792382919,0.687732,0
300800,力合科技,0.2,143787,0.69,11.67,-2005085,0.52,,-2005085,1552806,-3557891,人工智能、国产软件,-0.17,39898155,1186437013,0.874922,0
300345,华民股份,3.4,266665,0.3,6.55,-2013917,-1.21,,-2013917,3112277,-5126194,光伏、军工,-1.5,49642008,2330005265,0.640461,0
001218,丽臣实业,0.5,59466,0.23,17.49,-2263301,0.23,,-2263301,1657219,-3920520,化工、湖南,0.0,20252361,1302375885,1.2384,0
688059,华锐精密,0.5,37107,-0.22,49.16,-2402951,0.33,,-2402951,9691436,-12094387,工业母机、新型工业化,0.55,55339601,1958830827,1.14079,0
600416,湘电股份,1.1,679195,0.0,11.55,-2534881,-0.86,,-2534881,39702657,-42237538,军工、汽车零部件,-0.86,179789709,9231282857,0.923588,-6008195
301126,达嘉维康,4.2,525044,0.5,11.88,-2634916,-0.17,,-2634916,6240681,-8875597,辅助生殖、多胎概念,-0.67,61281031,1233357648,1.05451,0
300665,飞鹿股份,0.5,181984,0.4,7.48,-2968140,-0.13,,-2968140,999548,-3967688,化工、湖南,-0.53,46570570,1060786634,0.996275,0
002982,湘佳股份,0.7,192374,0.26,19.43,-3104351,-0.77,,-3104351,1558968,-4663319,鸡肉、农业,-1.02,42311229,1272033729,0.645036,0
600458,时代新材,2.6,198716,-0.08,13.32,-3303192,1.14,,-3303192,8693540,-11996732,风电零部件、化工,1.22,100416361,5925644258,0.631181,0
001216,华瓷股份,2.4,52250,-0.22,13.75,-3316558,-0.22,,-3316558,2405734,-5722292,智能穿戴、端侧AI,0.0,36496040,1126904192,0.90045,0
300267,尔康制药,2.8,11289530,1.7,3.59,-3321273,1.99,,-3321273,140123153,-143444426,维生素、并购重组,0.28,564496960,3863919383,1.95726,0
000428,华天酒店,3.3,783104,0.0,3.65,-3397400,-0.82,,-3397400,22100455,-25497855,旅游、湖南,-0.82,105505225,1667847387,0.952254,3709621
002650,ST加加,0.4,170168,-0.21,4.62,-3421945,-3.55,,-3421945,3136276,-6558221,ST板块、湖南,-3.35,34504328,3072200819,0.45156,0
