股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
600550,保变电气,1.2,39552539,10.06,5.91,73225639,10.06,3连板,73225639,356642860,-283417221,股权转让、特高压,0.0,670256606,5010395312,8.59155,61905303
300068,南都电源,1.3,66365509,3.23,13.38,47479761,20.0,3连板,47479761,1582824877,-1535345116,阿里系AI、储能,16.25,3671922800,9912392778,4.35181,173460499
002167,东方锆业,0.7,1686645,-0.72,5.82,30367388,4.11,,30367388,126087924,-95720536,固态电池、有色金属,4.86,484967564,3356910712,1.34632,3383593
603100,川仪股份,11.9,1119690,-0.81,16.99,28746164,5.66,,28746164,48340898,-19594734,新型工业化、光热发电,6.52,123105490,3928804195,2.17534,0
688776,国光电气,4.0,47584,-1.24,43.14,25719086,9.41,,25719086,35647909,-9928823,科创板、军工,10.79,141574905,1598814121,2.78244,0
003816,中国广核,4.7,4872012,-1.11,4.41,19564905,-1.78,,19564905,267047319,-247482414,绿色电力、三季报增长,-0.68,722382579,158345451275,0.961717,48782149
600010,包钢股份,2.8,2198870,0.0,1.41,7334155,-0.7,,7334155,62428108,-55093953,稀土永磁、铁矿石,-0.7,113730815,28654116695,0.84461,0
000037,深南电A,0.2,27339,-0.71,7.15,6669254,1.27,,6669254,11769907,-5100653,虚拟电厂、环保,2.0,57178039,1431272077,1.83919,0
603530,神马电力,2.5,1013390,-0.32,21.84,5423778,0.32,,5423778,15937676,-10513898,电气设备、化工,0.65,101489555,1622167842,0.672249,0
603991,至正股份,0.8,725086,-0.84,41.7,4448755,3.22,,4448755,21894734,-17445979,芯片、核电,4.09,126785841,2269106360,1.65552,0
002630,华西能源,1.6,29036,-0.41,2.46,3814033,0.41,,3814033,9665458,-5851425,电气设备、垃圾发电,0.82,32407738,2512005062,0.922026,0
688305,科德数控,0.0,11720,-0.42,59.61,3136378,1.29,,3136378,5432778,-2296400,工业母机、新型工业化,1.72,26973269,5003881270,0.825729,0
000777,中核科技,0.2,176410,-1.31,13.55,2779148,-1.45,,2779148,13317093,-10537945,并购重组、核电,-0.15,71113573,3778262911,0.541128,0
601226,华电科工,86.5,81483,0.21,4.73,1907117,0.64,,1907117,2882979,-975862,核电、电解槽,0.42,21312790,2033595470,0.78609,0
000682,东方电子,33.0,245091,-0.66,10.62,1871227,-0.56,,1871227,12528313,-10657086,电气设备、三季报增长,0.09,109256251,8334179477,0.667588,0
