股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
603668,天马科技,0.9,80550,0.06,16.26,8248074,0.99,,8248074,17481043,-9232969,水产品、年报增长,0.93,76155477,4789728241,1.64795,0
002891,中宠股份,0.6,517860,0.86,25.18,8193182,2.99,,8193182,15025781,-6832599,年报增长、并购重组,2.11,111560458,3541788540,1.39948,0
002696,百洋股份,0.6,38976,-0.16,6.29,3736918,3.11,,3736918,11200538,-7463620,核污染概念、股权转让,3.28,57582245,1405973659,2.84786,0
000702,正虹科技,0.2,27300,-0.57,5.34,2437808,1.14,,2437808,3371560,-933752,猪肉、养殖业,1.71,22083511,1066484667,0.820065,0
300673,佩蒂股份,1.9,150465,0.56,14.39,2210414,0.98,,2210414,6676605,-4466191,年报增长、农业,0.42,36796724,1987974992,1.36131,0
603609,禾丰股份,1.8,136857,0.0,9.24,2017790,-0.75,,2017790,4865428,-2847638,三季报增长、饲料,-0.75,38102983,3362263642,0.88514,0
002311,海大集团,3.6,907680,0.06,48.33,1121183,-0.9,,1121183,8454429,-7333246,农业、年报增长,-0.96,114998337,32317473306,0.384819,0
000972,中基健康,0.0,11220,-0.29,3.41,1090508,0.0,,1090508,2327479,-1236971,并购重组、实控人变更,0.29,12837643,1691641858,0.78167,0
603182,嘉华股份,1.4,191456,0.32,15.37,549434,-0.13,,549434,948543,-399109,人造肉、农业,-0.45,10041009,632321800,0.680394,0
600191,华资实业,1.1,85228,0.51,5.96,520811,0.51,,520811,1851016,-1330205,参股券商、金融概念,0.0,12902826,1320252508,0.628306,0
000019,深粮控股,0.6,56775,0.0,7.59,435463,0.26,,435463,3339335,-2903872,农业、并购重组,0.26,24204568,2054237641,1.21108,0
001313,粤海饲料,1.5,112280,0.0,7.99,351829,-0.37,,351829,351829,0,水产品、股权转让,-0.37,8255426,945536529,0.42342,0
000930,中粮科技,0.6,103752,-0.13,7.95,108944,0.25,,108944,8522773,-8413829,农业、可降解概念,0.38,41939644,6528474057,0.678654,0
003030,祖名股份,3.5,178850,0.29,24.45,54403,0.08,,54403,365699,-311296,食品饮料、小红书概念,-0.2,10445758,1004947078,0.595049,0
300138,晨光生物,1.0,50489,0.17,17.25,-314950,-0.75,,-314950,1652833,-1967783,食品饮料、农业,-0.92,31667928,6944453018,0.644604,0
000505,京粮控股,0.5,93000,0.0,7.53,-729026,0.4,,-729026,4552971,-5281997,海南、农业,0.4,24089668,2145064576,0.971379,0
001366,播恩集团,1.0,567424,-0.72,16.58,-763356,-1.07,,-763356,3622096,-4385452,合成生物、医药,-0.36,66758574,669003000,0.523804,0
603151,邦基科技,1.9,111287,0.24,16.5,-795348,-0.42,,-795348,1564686,-2360034,饲料、农业,-0.66,25442864,693000000,0.767894,0
300268,ST佳沃,0.0,0,0.0,16.2,-2846115,-2.0,,-2846115,1629666,-4475781,ST板块、预制菜,-2.0,19628067,1517186977,0.764227,0
002286,保龄宝,0.2,23576,-0.36,8.43,-3760446,-0.24,,-3760446,1004587,-4765033,代糖概念、年报增长,0.12,16822331,2201709500,1.10462,0
600811,东方集团,0.4,393990,0.0,2.29,-4032419,-0.43,,-4032419,12014724,-16047143,农业、远东开发,-0.43,40981921,5855123362,0.794769,0
002481,双塔食品,0.7,91600,-0.22,4.49,-4168388,-2.18,,-4168388,0,-4168388,人造肉、预制菜,-1.97,31868224,2873328871,0.784768,0
000876,新希望,0.4,238764,-0.17,11.82,-4540802,-0.17,,-4540802,19649265,-24190067,猪肉、乳业,0.0,115156383,24149384256,0.669642,-3293181
300175,朗源股份,1.0,20822228,-2.73,4.33,-4596074,-1.37,,-4596074,58436101,-63032175,农业、实控人变更,1.41,304518288,1510209672,1.91247,0
002852,道道全,3.3,822240,0.14,14.21,-4648513,-1.18,,-4648513,6507877,-11156390,年报增长、食品饮料,-1.32,59721124,2906154113,0.855506,0
603363,*ST傲农 ,0.8,265454,0.21,9.34,-4768851,-0.21,,-4768851,4713942,-9482793,ST板块、养殖业,-0.43,76243926,3739492046,0.664458,0
000911,广农糖业,0.4,2219412,0.68,10.33,-5616902,-0.1,,-5616902,14515649,-20132551,白糖、地方国企,-0.77,143637200,1934671585,0.803567,0
002567,唐人神,1.2,553056,-0.3,6.66,-5780594,-1.19,,-5780594,52337664,-58118258,农业、年报增长,-0.89,248759163,6474463000,1.11,0
600737,中粮糖业,0.1,588120,-0.35,8.45,-7944871,-0.35,,-7944871,33736641,-41681512,白糖、国有企业,0.0,166455846,8905674866,0.543648,-4198406
002385,大北农,0.6,814960,-0.15,6.69,-8661837,0.0,,-8661837,31136111,-39797948,农业、转基因,0.15,149754625,20432348735,0.655582,0
