股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
002728,特一药业,0.6,815864,0.0,17.44,30015989,1.75,,30015989,102179934,-72163945,NMN、止咳药,1.75,426510094,3340747470,1.41162,19089407
002030,达安基因,15.7,4897310,0.67,10.8,16708613,3.05,,16708613,148713527,-132004914,基因疗法、新冠检测,2.37,600422428,10369461494,3.19084,-55321
600630,龙头股份,0.9,3759106,0.45,9.34,14621330,5.78,,14621330,185418865,-170797535,国有企业、服装家纺,5.3,894596801,2776047544,1.68973,1369445
600195,中牧股份,1.6,808640,-0.44,11.33,10327406,0.71,,10327406,25889044,-15561638,农业、动物疫苗,1.16,92398623,5863627776,1.18334,0
300147,香雪制药,1.1,223261,0.0,6.0,7435348,5.08,,7435348,53232667,-45797319,中药、创新药,5.08,270109461,3049804256,5.17135,0
601718,际华集团,1.2,324576,0.0,2.88,3730218,0.0,,3730218,22697220,-18967002,军工、破净股概念,0.0,71808015,6909408115,1.19887,0
002737,葵花药业,1.5,1715340,-0.15,26.03,3401854,0.0,,3401854,42512436,-39110582,中药、高股息,0.15,218248447,7386798606,1.31137,2237822
603880,南卫股份,0.4,11784,0.0,4.98,2682977,1.43,,2682977,2682977,0,医疗器械、医药,1.43,9635669,770267887,1.56993,0
000597,东北制药,1.5,406815,-0.18,5.56,2244497,0.0,,2244497,12709601,-10465104,流感、维生素,0.18,73050863,3336208121,1.11298,0
002566,益盛药业,2.7,605982,0.44,9.14,1787307,0.44,,1787307,7732253,-5944946,中药、破净股概念,0.0,48738545,1827326301,1.36043,0
300453,三鑫医疗,0.0,24924,0.12,7.97,1520164,-0.75,,1520164,3258044,-1737880,医药、疫苗概念,-0.87,35458990,2561613361,1.10482,0
688739,成大生物,0.4,66952,0.18,33.8,865567,-0.68,,865567,7242719,-6377152,地方国企、国有企业,-0.85,47572138,6384750502,0.922468,0
002107,沃华医药,0.4,159840,0.3,6.61,788981,-0.45,,788981,2388271,-1599290,中药、并购重组,-0.75,31267496,1849554991,0.912516,0
301075,多瑞医药,0.6,124958,0.21,28.86,479018,-0.48,,479018,1650847,-1171829,医药、西藏自治区,-0.69,47403638,676008885,1.32736,0
000078,海王生物,1.1,245234,0.64,3.13,355971,0.32,,355971,9920370,-9564399,医药、病毒防治,-0.32,47762019,4427521602,1.29651,19998
000518,四环生物,1.6,75746,0.64,3.12,296240,0.32,,296240,3786798,-3490558,医药、病毒防治,-0.32,29643376,2084968584,1.02282,0
600673,东阳光  ,0.2,35934,-0.29,6.77,142202,-0.44,,142202,3337695,-3195493,制冷剂、有色金属,-0.15,37074741,11713791669,0.843736,0
002644,佛慈制药,1.3,164455,0.09,10.53,74241,-0.66,,74241,2864426,-2790185,中药、地方国企,-0.75,28761322,2062496571,0.754065,0
603301,振德医疗,1.8,95436,-0.45,26.48,-49526,-0.56,,-49526,1994502,-2044028,医疗器械、病毒防治,-0.11,24928816,3127459449,0.74014,0
300030,阳普医疗,0.9,83496,0.12,8.41,-426719,-1.18,,-426719,356999,-783718,医疗器械、PPP概念,-1.29,30720551,1906852593,0.88487,0
002007,华兰生物,1.5,563458,0.0,23.23,-589614,-0.64,,-589614,29823733,-30413347,肝炎概念、医药,-0.64,199322944,19960443338,1.11726,-3522019
688189,南新制药,0.0,4142,-0.1,10.39,-965612,-0.76,,-965612,1127298,-2092910,湖南、地方国企,-0.67,25611616,1588106024,0.864787,0
600527,江南高纤,0.4,102800,0.0,2.0,-2019859,0.0,,-2019859,1220458,-3240317,化工、多胎概念,0.0,18555157,2209695739,0.884258,0
002755,奥赛康,0.5,128768,0.0,10.13,-2147740,0.7,,-2147740,2196056,-4343796,创新药、幽门螺杆菌,0.7,38465502,2287466431,0.843651,0
688399,硕世生物,7.0,78958,0.76,54.99,-2297105,-0.78,,-2297105,550499,-2847604,病毒防治、抗原检测,-1.52,25066570,1776831762,0.812116,0
600400,红豆股份,5.3,330993,0.34,3.02,-2357754,1.34,,-2357754,12886278,-15244032,固态电池、锂电池,1.0,61856761,2450453779,1.80203,0
600796,钱江生化,2.3,183218,0.0,5.66,-2518896,-0.53,,-2518896,0,-2518896,农药、并购重组,-0.53,21292991,1137167111,0.882973,0
002022,科华生物,0.3,17119,-0.66,9.18,-2564549,1.21,,-2564549,10987756,-13552305,医疗器械、新冠检测,1.89,69997000,3839546982,2.17212,0
603387,基蛋生物,51.5,242050,0.34,11.73,-2631230,0.17,,-2631230,1237898,-3869128,医疗器械、幽门螺杆菌,-0.17,32645111,3575682909,1.12255,0
002950,奥美医疗,0.9,53689,-0.2,10.07,-3333986,-0.79,,-3333986,1210343,-4544329,医疗器械、病毒防治,-0.59,40524447,2546583965,1.33503,0
000782,恒申新材,0.5,2394930,0.0,5.75,-3681156,-1.2,,-3681156,13384102,-17065258,化工、化纤,-1.2,123222800,2210456719,0.692689,0
600789,鲁抗医药,0.6,403704,0.14,7.08,-3732709,-0.42,,-3732709,12921653,-16654362,流感、新冠药概念,-0.56,92973696,4990988117,1.07746,0
600513,联环药业,0.3,100719,0.0,10.79,-4012567,-0.37,,-4012567,4400947,-8413514,流感、病毒防治,-0.37,58625789,1902063067,0.846526,0
300039,上海凯宝,0.5,594980,-0.28,7.09,-4109961,-0.42,,-4109961,28232544,-32342505,中药、新冠药概念,-0.14,137189867,4511866656,1.11329,0
600613,神奇制药,3.6,4328775,-1.2,8.28,-4320831,-0.84,,-4320831,17098189,-21419020,医药、止咳药,0.36,160226658,2015868956,1.18394,0
000513,丽珠集团,0.1,241780,0.03,34.61,-6746517,0.23,,-6746517,17458130,-24204647,病毒防治、仿制药,0.2,114499005,13330682576,1.09812,-4840363
300086,康芝药业,0.2,170422,0.0,6.6,-8820337,0.3,,-8820337,21396523,-30216860,海南、多胎概念,0.3,133543760,2060725533,1.05844,0
600267,海正药业,0.7,807282,0.1,10.36,-8925044,-0.58,,-8925044,50871818,-59796862,医药、并购重组,-0.67,214891458,7638156928,0.983155,0
002166,莱茵生物,1.4,351105,-0.13,7.83,-9745973,-0.89,,-9745973,3748636,-13494609,合成生物、代糖概念,-0.76,57653299,3451583413,0.825329,0
002414,高德红外,1.6,224316,0.0,7.94,-11414147,-1.24,,-11414147,15281122,-26695269,机器人概念、传感器,-1.24,125968118,12346866294,1.16313,3363766
000955,欣龙控股,9.1,7547618,0.36,5.53,-11511687,-0.72,,-11511687,41133986,-52645673,海南、病毒防治,-1.07,303072426,2227634410,3.07216,3006300
603567,珍宝岛  ,0.6,127652,-0.07,13.44,-11687145,-1.1,,-11687145,7231056,-18918201,医药、中药,-1.03,77027072,3185509807,0.657888,0
000652,泰达股份,37.3,5426433,-1.2,4.13,-11801506,-0.72,,-11801506,24942644,-36744150,创投、病毒防治,0.49,98661315,4077568793,1.84053,-588661
600062,华润双鹤,0.6,696960,-0.49,18.29,-13828583,0.27,,-13828583,85770493,-99599076,医药、防脱发,0.77,372452859,7224991006,0.931279,671315
002019,亿帆医药,0.1,1946211,0.83,16.0,-14166243,2.04,,-14166243,95496476,-109662719,医药、维生素,1.2,379656748,11628609812,1.068,974323
000650,仁和药业,2.2,1139484,-0.14,7.04,-21270799,-0.42,,-21270799,22724442,-43995241,医美、并购重组,-0.28,157209634,7011608451,0.841054,-6331895
600222,太龙药业,1.5,5004795,-1.01,6.85,-27679345,-1.3,,-27679345,64502435,-92181780,流感、新冠药概念,-0.29,413490218,3024085619,1.00057,-3810170
600200,江苏吴中,0.4,617520,-0.43,9.07,-31335773,-2.89,,-31335773,71884810,-103220583,医美、中药,-2.47,360533780,5314912994,0.961369,-70468
002603,以岭药业,0.4,826944,0.17,23.08,-43853853,-1.03,,-43853853,56634307,-100488160,流感、中药,-1.2,338391362,17591718912,1.02129,-8604572
002584,西陇科学,0.9,98623113,6.06,12.03,-509355921,-7.74,,-509355921,650224442,-1159580363,化工、光刻胶,-13.02,3581671905,4668948965,1.56905,-91431421
