股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
300128,锦富技术,1.2,3562096,1.6,6.0,253059068,20.0,首板,253059068,830588155,-577529087,光伏、并购重组,18.11,1545880686,5718505979,3.40857,0
000725,京东方Ａ,1.5,21939708,0.0,4.34,242312584,1.4,,242312584,2383280984,-2140968400,面板、并购重组,1.4,4101150297,129222523918,1.37878,28752692
601933,永辉超市,8.7,46953958,1.76,3.69,99314778,8.21,,99314778,1231478568,-1132163790,零售、并购重组,6.34,2981065515,16682564092,2.44037,215794060
002785,万里石,95.7,53991300,3.94,33.01,67666359,3.97,,67666359,453669031,-386002672,锂矿、并购重组,0.03,866925114,5187191141,2.82837,48712889
002875,安奈儿,0.4,1802801,-1.26,19.87,67144534,8.94,,67144534,187033733,-119889199,电子商务、服装家纺,10.33,491648038,2292713568,1.0975,-1529076
600439,瑞贝卡  ,2.5,7359081,2.63,3.34,63542816,9.87,首板,63542816,91671970,-28129154,成人用品、一带一路,7.05,111497171,2504967139,0.44056,40066985
002094,青岛金王,0.7,26184488,4.76,5.31,47815711,9.94,9天7板,47815711,155065876,-107250165,资产管理、跨境电商,4.94,493905951,2879910869,0.437138,32592244
002565,顺灏股份,2.8,1301318,-0.33,3.21,44751760,5.94,,44751760,111350983,-66599223,电子烟、三季报增长,6.29,307260022,2411210321,1.52159,0
002488,金固股份,0.3,6735430,-4.36,13.95,39332729,1.45,,39332729,164682172,-125349443,汽车零部件、智能驾驶,6.08,527201342,9675486206,0.69425,-5955778
603779,威龙股份,1.4,593385,-0.45,11.67,20991436,5.14,,20991436,157504341,-136512905,年报增长、葡萄酒,5.61,399944106,2636558661,2.35937,15309884
002615,哈尔斯,1.1,934731,0.65,7.82,19821669,1.3,,19821669,47009242,-27187573,年报增长、数字经济,0.64,173031100,2032312351,1.4503,12629576
002024,ST易购,28.7,4654240,3.9,1.62,19042790,5.19,首板,19042790,28925023,-9882233,ST板块、平台经济,1.25,63961385,5828978759,2.00232,0
603801,志邦家居,3.4,435067,0.0,12.72,15703311,-1.47,,15703311,36568434,-20865123,装修家具、人工智能,-1.47,171052912,3229653818,0.799436,7814173
000702,正虹科技,0.5,3195201,0.0,8.0,14500650,0.13,,14500650,86310463,-71809813,猪肉、养殖业,0.13,419048989,1597729839,1.00805,0
600271,航天信息,0.5,440020,-0.1,9.96,13220801,1.53,,13220801,70208187,-56987386,财税数字化、蚂蚁金服概念,1.63,313483878,11074831707,1.41064,4872999
603215,比依股份,8.3,1134980,0.72,15.44,9932420,0.98,,9932420,22149941,-12217521,AI眼镜、端侧AI,0.26,74014364,1096742263,1.51465,0
002277,友阿股份,1.4,449625,0.73,2.72,9489728,-0.37,,9489728,32804306,-23314578,零售、NMN,-1.09,104416626,2578878163,1.03476,0
605081,太和水  ,0.0,70682,-0.25,12.12,9065349,0.92,,9065349,15069310,-6003961,污水处理、环保,1.17,77598922,974149977,1.17391,0
002419,天虹股份,1.7,592152,0.21,4.92,8644055,2.71,,8644055,38032082,-29388027,国有企业、预制菜,2.5,192357002,2459336857,2.65449,3527199
