股票代码,股票名称,竞价量比,竞价金额,竞价涨幅%,价格,净额,涨幅%,板上信息,主力净额,主力买,主力卖,所属板块,区间涨幅%,成交额,实际流通,量比,300w大单净额
603220,中贝通信,0.8,15677240,2.12,36.3,458047658,10.0,首板,458047658,1251510382,-793462724,算力租赁、通信,7.72,2346933796,8872436401,0.984689,292987914
002654,万润科技,0.4,29873010,-2.36,16.79,288669692,10.03,3天2板,288669692,1064558438,-775888746,存储、文化传媒,12.68,2749643628,9772734140,1.12582,292507526
601728,中国电信,0.7,1067667,-0.17,6.11,171091051,2.69,,171091051,528518467,-357427416,AI政务、6G,2.86,1179285998,80991488886,1.68895,52032675
603000,人民网  ,1.6,10154380,-1.3,37.6,123503856,1.65,,123503856,1057120538,-933616682,文化传媒、数据确权,2.99,2824643755,18046414999,1.42966,-11117926
600415,小商品城,0.8,1848190,0.36,8.69,106745141,3.58,,106745141,331345456,-224600315,跨境支付、零售,3.21,827268363,21013922043,1.28197,21299597
003005,竞业达,0.3,1381800,-0.27,32.43,103751359,10.01,首板,103751359,135132679,-31381320,DeepSeek、算力,10.31,162786247,1610257735,0.601169,65596158
300180,华峰超纤,948.6,36914185,20.0,4.14,90596884,20.0,首板,90596884,186258955,-95662071,跨境支付、股权转让,0.0,195907395,5330811055,3.3957,0
300418,昆仑万维,0.5,9187972,0.03,32.65,88923562,-0.79,,88923562,526942017,-438018455,AIGC、ChatGPT,-0.82,1659860108,22030686813,0.682495,1358168
600050,中国联通,0.8,2266458,0.2,5.07,86656589,1.81,,86656589,410879309,-324222720,AI政务、算力,1.6,1008030095,65224870858,1.4735,109151937
002316,ST亚联,18.9,7561320,9.9,5.56,83781057,10.1,首板,83781057,101920548,-18139491,ST板块、数字货币,0.18,107637831,1618024549,1.33927,64750980
300773,拉卡拉,7.9,4588984,2.42,18.25,77739719,7.86,,77739719,227841009,-150101290,跨境支付、数字货币,5.31,699549550,9451912094,3.82457,29138042
000333,美的集团,0.7,3877632,0.0,55.88,74630163,1.45,,74630163,268345432,-193715269,家电、并购重组,1.45,936368372,186251105953,0.961301,47121959
003040,楚天龙,66.5,13182240,7.54,17.8,64683011,10.01,首板,64683011,176001581,-111318570,AI智能体、数字货币,2.3,402401459,3010689054,4.85695,41612599
300499,高澜股份,10.8,15035040,4.74,16.12,64487951,6.19,,64487951,337839590,-273351639,液冷服务器、算力,1.38,994523190,4217648203,2.52094,28618338
600522,中天科技,0.5,868344,0.13,15.13,62828566,1.54,,62828566,208210943,-145382377,通信、固态电池,1.41,700403488,35563345405,0.846122,6866078
002657,中科金财,4.9,29383533,5.04,17.69,62271416,10.01,2连板,62271416,332432959,-270161543,AI智能体、数字货币,4.74,801770714,5140941294,4.65977,69150557
301316,慧博云通,2.5,310407,0.52,30.7,61273301,6.38,,61273301,87374760,-26101459,互联网金融、并购重组,5.83,369567610,4580254119,2.57999,11845833
300085,银之杰,1.2,1755141,0.9,13.84,57307113,3.67,,57307113,185890173,-128583060,金融科技、互联网金融,2.75,637036918,5342891133,1.24214,13209531
300465,高伟达,2.3,1232045,1.28,11.61,47499616,14.05,,47499616,177139890,-129640274,金融科技、算力,12.61,797569420,3572816089,5.4091,6586790
301382,蜂助手,4.1,9873591,3.9,44.43,46174811,7.58,,46174811,159355355,-113180544,华为概念、字节概念,3.54,605816225,1607772637,1.93203,0
300541,先进数通,1.3,2200870,1.51,17.48,46081426,10.21,,46081426,281163674,-235082248,互联网金融、网红经济,8.57,1125987922,4421811796,2.2016,6443890
600570,恒生电子,1.3,1063860,0.58,31.49,45761984,1.22,,45761984,138933899,-93171915,互联网金融、蚂蚁金服概念,0.64,480645106,37744670009,0.67663,3151877
603322,超讯通信,1.4,2808621,1.01,37.01,45257439,4.22,,45257439,191874959,-146617520,DeepSeek、5G,3.18,606860064,4234012660,0.915814,12449256
300310,宜通世纪,0.9,831344,-1.27,4.92,44473898,4.24,,44473898,120557969,-76084071,机器人概念、5G,5.58,308373026,3182500950,1.54345,0
300280,紫天科技,0.9,1008040,0.86,33.59,44080120,7.21,,44080120,99390339,-55310219,字节概念、网红经济,6.3,398338396,4293446273,1.27873,-4694634
688318,财富趋势,0.7,1800161,-0.94,143.43,40022483,5.0,,40022483,291634185,-251611702,互联网金融、金融概念,5.99,735037346,5985907966,1.64946,-10625202
002771,真视通,3.2,30861546,9.99,18.39,39031559,9.99,2连板,39031559,110943791,-71912232,算力、数字经济,0.0,148621984,2706232872,0.211934,44596379
300033,同花顺,0.4,600640,0.07,152.77,37765362,1.81,,37765362,264629403,-226864041,互联网金融、电子商务,1.74,855828382,29783807040,1.10347,867226
300996,普联软件,0.1,13866,-0.39,25.9,37350025,11.64,,37350025,67722165,-30372140,AI智能体、三季报增长,12.07,245175939,3178243980,3.84551,-3905952
300275,梅安森,3.7,388596,0.08,13.3,36292086,8.93,,36292086,94051367,-57759281,智慧矿山、PPP概念,8.84,282327732,3115742645,2.27797,0
688418,震有科技,0.6,13969906,-4.47,26.84,32350692,6.17,,32350692,284871002,-252520310,CPO/MPO、卫星导航,11.14,990597991,3565816697,1.77247,0
600690,海尔智家,0.4,765475,0.13,23.08,31125086,1.14,,31125086,76635707,-45510621,家电、电子商务,1.01,364050277,76224552287,1.05741,0
688118,普元信息,3.1,4284310,0.0,28.03,30369994,-0.78,,30369994,97303156,-66933162,人工智能、算力,-0.78,283561011,2035819555,1.68136,0
600476,湘邮科技,1.8,260575,1.57,16.13,30242410,10.03,首板,30242410,71100954,-40858544,人工智能、蚂蚁金服概念,8.33,257672331,1575941081,3.88567,12681100
300674,宇信科技,4.0,3894700,1.98,17.61,29517519,5.64,,29517519,173772565,-144255046,DeepSeek、蚂蚁金服概念,3.59,624043514,9137126543,2.25889,15387137
601108,财通证券,1.1,996702,0.5,8.07,28762888,1.64,,28762888,126356992,-97594104,证券、地方国企,1.13,386127170,26548806503,1.41382,-2818204
300468,四方精创,29.3,7832978,6.13,11.37,28311033,5.67,,28311033,148266557,-119955524,跨境支付、数字经济,-0.44,499385803,4270328684,4.13833,-361317
002530,金财互联,0.3,216132,0.58,9.02,28060845,4.52,,28060845,132076233,-104015388,AI智能体、华为概念,3.92,497471355,4352871383,1.51098,18416197
600071,凤凰光学,0.3,204906,-0.22,20.35,27331731,10.0,首板,27331731,74573994,-47242263,股权转让、安防,10.24,209386311,3027569503,2.84902,1332945
002615,哈尔斯,0.3,1573803,0.87,7.56,26768196,10.04,首板,26768196,85726904,-58958708,年报增长、数字经济,9.09,207862803,1950544581,2.57439,7594092
300098,高新兴,0.8,26419503,0.21,4.94,26296492,3.35,,26296492,411000386,-384703894,机器人概念、车路云,3.13,1409137759,7258441282,1.10077,0
300059,东方财富,0.6,5163935,0.2,15.13,25094193,1.14,,25094193,1081690554,-1056596361,证券、金融概念,0.93,2294116655,177439711312,1.13634,31728873
